Country_Name,PolicyMeasure_Name,CommodityClass_Name,Start_Date,End_Date
Argentina,Export prohibition,Maize,2020-02-26,2020-03-04
Argentina,Export prohibition,Maize,2020-12-30,2021-01-10
Argentina,Export prohibition,Maize,2023-12-11,2023-12-14
Argentina,Export prohibition,Rice,2020-02-26,2020-03-04
Argentina,Export prohibition,Soybeans,2007-11-06,2007-11-11
Argentina,Export prohibition,Soybeans,2020-02-26,2020-03-04
Argentina,Export prohibition,Soybeans,2022-03-13,2022-03-21
Argentina,Export prohibition,Wheat,2007-05-31,2007-11-11
Argentina,Export prohibition,Wheat,2020-02-26,2020-03-04
Argentina,Export prohibition,Wheat,2023-12-11,2023-12-14
Argentina,Export quota,Maize,2007-05-04,2008-01-31
Argentina,Export quota,Maize,2020-03-01,2021-02-28
Argentina,Export quota,Maize,2021-03-01,2022-02-28
Argentina,Export quota,Maize,2022-03-01,2023-02-28
Argentina,Export quota,Maize,2023-03-01,2024-02-28
Argentina,Export quota,Wheat,2007-05-31,2008-05-27
Argentina,Export quota,Wheat,2007-05-31,2007-12-20
Argentina,Export quota,Wheat,2007-12-21,2008-05-27
Argentina,Export quota,Wheat,2008-01-29,2008-05-27
Argentina,Export quota,Wheat,2008-05-19,2008-05-27
Argentina,Export quota,Wheat,2011-02-11,2011-05-18
Argentina,Export quota,Wheat,2011-05-19,2012-05-18
Argentina,Export quota,Wheat,2021-12-01,2022-11-30
Argentina,Export quota,Wheat,2022-12-01,2023-11-30
Argentina,Export tax,Maize,2007-05-15,2008-12-21
Argentina,Export tax,Maize,2007-05-15,2007-11-06
Argentina,Export tax,Maize,2007-11-07,2008-03-09
Argentina,Export tax,Maize,2008-03-10,2008-05-29
Argentina,Export tax,Maize,2008-05-30,2008-07-17
Argentina,Export tax,Maize,2008-07-18,2008-12-21
Argentina,Export tax,Maize,2008-12-22,2015-12-15
Argentina,Export tax,Maize,2018-09-04,2019-12-13
Argentina,Export tax,Maize,2018-09-04,2019-07-10
Argentina,Export tax,Maize,2019-07-11,2020-03-04
Argentina,Export tax,Maize,2019-12-14,2020-03-04
Argentina,Export tax,Maize,2019-12-14,2020-12-31
Argentina,Export tax,Maize,2020-03-05,
Argentina,Export tax,Maize,2021-01-01,
Argentina,Export tax,Rice,2007-05-15,2015-12-15
Argentina,Export tax,Rice,2018-09-04,2019-07-10
Argentina,Export tax,Rice,2018-09-04,2019-12-13
Argentina,Export tax,Rice,2019-07-11,2019-12-13
Argentina,Export tax,Rice,2019-12-14,2020-03-04
Argentina,Export tax,Rice,2019-12-14,2020-12-31
Argentina,Export tax,Rice,2020-03-05,2023-08-31
Argentina,Export tax,Rice,2021-01-01,2021-06-27
Argentina,Export tax,Rice,2023-09-01,
Argentina,Export tax,Soybeans,2007-01-11,2007-05-14
Argentina,Export tax,Soybeans,2007-05-15,2007-11-06
Argentina,Export tax,Soybeans,2007-05-15,2008-03-09
Argentina,Export tax,Soybeans,2007-11-07,2008-03-09
Argentina,Export tax,Soybeans,2008-03-10,2008-03-12
Argentina,Export tax,Soybeans,2008-03-10,2008-05-29
Argentina,Export tax,Soybeans,2008-03-13,2008-05-29
Argentina,Export tax,Soybeans,2008-05-30,2008-07-17
Argentina,Export tax,Soybeans,2008-07-18,2015-12-15
Argentina,Export tax,Soybeans,2008-07-18,2008-07-24
Argentina,Export tax,Soybeans,2008-07-25,2015-12-15
Argentina,Export tax,Soybeans,2015-12-16,2017-12-31
Argentina,Export tax,Soybeans,2018-01-01,2018-01-31
Argentina,Export tax,Soybeans,2018-01-01,2018-01-02
Argentina,Export tax,Soybeans,2018-01-03,2018-08-14
Argentina,Export tax,Soybeans,2018-01-03,2018-09-03
Argentina,Export tax,Soybeans,2018-02-01,2018-02-28
Argentina,Export tax,Soybeans,2018-03-01,2018-03-31
Argentina,Export tax,Soybeans,2018-04-01,2018-04-30
Argentina,Export tax,Soybeans,2018-05-01,2018-05-31
Argentina,Export tax,Soybeans,2018-06-01,2018-06-30
Argentina,Export tax,Soybeans,2018-07-01,2018-07-31
Argentina,Export tax,Soybeans,2018-08-01,2018-08-31
Argentina,Export tax,Soybeans,2018-08-01,2018-08-14
Argentina,Export tax,Soybeans,2018-08-15,2018-09-03
Argentina,Export tax,Soybeans,2018-09-01,2018-09-03
Argentina,Export tax,Soybeans,2018-09-04,2020-12-31
Argentina,Export tax,Soybeans,2018-09-04,2020-03-04
Argentina,Export tax,Soybeans,2018-09-04,2019-12-13
Argentina,Export tax,Soybeans,2019-12-14,2020-12-31
Argentina,Export tax,Soybeans,2019-12-14,2020-03-04
Argentina,Export tax,Soybeans,2020-03-05,2020-10-05
Argentina,Export tax,Soybeans,2020-10-06,2020-10-31
Argentina,Export tax,Soybeans,2020-11-01,2020-11-30
Argentina,Export tax,Soybeans,2020-12-01,2020-12-31
Argentina,Export tax,Soybeans,2021-01-01,2022-03-18
Argentina,Export tax,Soybeans,2021-01-01,2021-12-31
Argentina,Export tax,Soybeans,2021-01-01,
Argentina,Export tax,Soybeans,2022-01-01,
Argentina,Export tax,Soybeans,2022-03-19,2022-12-31
Argentina,Export tax,Wheat,2007-05-15,2008-03-09
Argentina,Export tax,Wheat,2007-05-15,2015-12-15
Argentina,Export tax,Wheat,2007-05-15,2007-11-06
Argentina,Export tax,Wheat,2007-05-15,2008-12-21
