"","1","2","3","4","8","9","10","11","12","13","14","16","17","18","19","20","21","22","23","25","26","27","28","29","32","33","35","37","38","39","40","41","44","45","46","47","48","49","50","52","53","54","55","56","57","58","59","60","61","63","64","66","67","68","70","72","73","74","75","79","80","81","83","84","85","86","89","90","91","93","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","112","113","114","115","116","117","118","119","120","121","122","123","124","126","128","129","130","131","132","133","134","136","137","138","141","143","144","146","147","149","150","151","153","154","155","156","157","158","159","162","165","166","167","168","169","170","171","173","174","175","176","178","179","181","183","184","185","188","189","191","193","194","195","196","197","198","199","200","201","202","203","207","208","209","210","211","212","213","214","215","216","217","219","220","221","222","223","225","226","227","229","230","231","233","234","235","236","237","238","249","250","251","255","256","272","273","276","277","299"
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29466.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107512533.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8941900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224576666.666667,0,0,0,11866.6666666667,0,0,0,0,0,0,0,0,0,104426666.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10164000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46863300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2581166.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14270233.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79560000,0,0,0,0,0,0,0,0,142400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59333.3333333333,0,0,373000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2848000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3298933333.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62323733.3333333,0,0,0,0,0,0,0,0,0,0,28480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,0,1009141333.33333,11410114466666.7,0,0,0,0,0,16229209333.3333,0,571905693333.333,0,0,111296564800,0,1893660891333.33,0,0,0,30708441333.3333,4357368800,0,0,67891217333.3333,293142266.666667,77581893333.3333,0,0,0,7639440538200,0,3327063397200,0,113967348000,0,40039711600,1506008160000,736089333.333333,852738666.666667,2877963333.33333,3328066000,0,668742653600,0,141265131333.333,11713556762666.7,1991333466.66667,0,0,0,0,0,1197773866.66667,0,14147653600,759941333.333333,1346510666.66667,1013959200,80634000,666906666.666667,95029583866.6667,0,5062225066.66667,0,0,1552978800,3648288000,0,0,2866440800,0,0,986535333.333333,0,11416528400,2470032046933.33,0,563768720000,0,0,16278835733.3333,17384666666.6667,0,0,1474010880000,1454479889333.33,0,1400148000,0,0,13182243306666.7,408487690666.667,0,0,361359093466.667,0,2980598133.33333,31014625066.6667,244619466.666667,0,0,0,9547825066666.67,0,2600769866.66667,0,3878620000,271669533333.333,5572373066.66667,0,5064829562666.67,0,0,0,25210602800,136164849866.667,0,0,2238053333.33333,0,0,790770933.333333,917293333.333333,300495031333.333,0,0,18581182666.6667,385666666.666667,0,45801690266.6667,10517369706666.7,36563976800,146975608666.667,553342666.666667,0,0,0,31875053333.3333,0,978810133.333333,0,0,0,0,0,0,7253928980000,827527814666.667,0,1295365333.33333,0,0,0,0,598560991600,142338554400,91563200,0,0,0,0,18004925466.6667,0,2406077857333.33,1691712000,0,673433333.333333,0,772235200,509787016000,821999335866.667,256228745333.333,1204510680133.33,0,0,718840148400,878133.333333333,488812208000,460426666.666667,118897629333.333,0,389370941600,26354669320000,1689813333.33333,2342979349333.33,81883916000,0,0,0,0,0,0,0,0
"Australia",0,0,0,0,0,142400,0,0,0,0,0,4746666.66666667,0,0,0,0,0,0,0,109880100,379733.333333333,0,8342266.66666667,0,0,0,0,0,32194266.6666667,0,0,62796466.6666667,0,0,0,217800,0,0,0,0,0,0,0,0,0,0,3872000,0,0,0,0,121940200,0,20173333.3333333,299691466.666667,0,0,0,0,23898866.6666667,0,0,387200,0,0,0,0,0,0,0,0,42768633.3333333,0,0,0,4174500,3089871266.66667,10786800,0,0,40073733.3333333,0,0,0,0,4058539166.66667,0,0,0,0,0,216135954133.333,0,0,0,0,0,0,0,0,0,0,0,7091849500,0,0,0,0,0,0,0,0,0,0,0,0,3821066.66666667,0,175145633.333333,0,9747400,4600396433.33333,0,0,0,0,890000,0,0,2054179866.66667,0,0,1526631133.33333,0,0,0,48166.6666666667,0,106800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022328733.33333,0,14263733.3333333,0,0,0,0,0,0,0,0,614313600,0,4530831800,0,0,0,0,0,12626133.3333333,95942000,0,0,147333.333333333,0,0,0,1127333.33333333,0,0,6314266.66666667,0,0,0,0,0,0,0,0,0,0,0
"Austria",108900,0,0,0,0,0,47466.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465369466.66667,0,0,0,141873266.666667,0,0,0,0,9374666.66666667,462800,0,0,0,0,0,0,798366.666666667,516722133.333333,0,754917533.333333,0,0,373598266.666667,0,0,0,0,830488000,0,0,37673233.3333333,20538938233.3333,0,0,376078400,0,0,357774880600,0,0,0,12747133.3333333,0,0,0,0,0,0,0,56770600,45800386900,3569734033.33333,0,0,0,135659733.333333,0,170685366.666667,0,1377278432566.67,0,1280769333.33333,0,131328400,12947000,263819733.333333,0,0,0,1032500,0,107999533.333333,0,0,0,0,0,984925666.666667,0,0,0,0,0,0,387200,0,0,142400,0,367866.666666667,0,151679100,474666.666666667,0,18584472700,0,0,196715033.333333,0,296666.666666667,0,0,0,124333.333333333,71200,0,38049283500,0,0,0,0,17713185200,46451400,0,0,0,0,0,8722209966.66667,0,8252530933.33333,0,0,0,0,24200,0,0,0,11628391333.3333,11987085066.6667,411400,0,0,659394833.333333,0,0,0,270105800,7121297100,0,0,919400,0,0,0,0,0,0,0,54963837200,0,0,0,2465339566.66667,8915339633.33333,67011300,0,0,385975200,0,0,0,0,0,0,1009103766.66667,36767866.6666667,1026656566.66667,0,0,0,0
"Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59333.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahrain",0,0,0,0,294666.666666667,0,0,0,147333.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147333.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090266.66666667,0,0,0,0,0,0,0,1296533.33333333,0,0,0,1332400,0,0,3359200,0,0,0,0,0,0,0,0,0,0,0,0,0,5446800,0,0,0,0,3152933.33333333,0,0,0,0,0,58933.3333333333,0,0,2210000,0,0,0,0,0,0,0,0,0,677733.333333333,0,0,0,1384933.33333333,0,0,0,0,0,0,7631866.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90328566.6666667,0,0,0,0,0,677733.333333333,0,0,0,0,0,0,0,353600,0,0,0,0,0,0,0,0,3487433.33333333,0,176800,82723866.6666667,0,0,176800,0,1829500,0,0,0,0,0,0,0,0,0,58933.3333333333,0,0,0,0,0,0
