Area Code,Area,Item Code,Item,Element,Year,Unit,Value,Flag
2,Afghanistan,15,Wheat,Production,2006,t,3363000.000000,A
2,Afghanistan,15,Wheat,Production,2007,t,4484000.000000,A
2,Afghanistan,15,Wheat,Production,2008,t,2623000.000000,A
2,Afghanistan,15,Wheat,Production,2009,t,5064000.000000,A
2,Afghanistan,15,Wheat,Production,2010,t,4532000.000000,A
2,Afghanistan,15,Wheat,Production,2011,t,3388000.000000,A
3,Albania,15,Wheat,Production,2006,t,230900.000000,A
3,Albania,15,Wheat,Production,2007,t,249500.000000,A
3,Albania,15,Wheat,Production,2008,t,335000.000000,A
3,Albania,15,Wheat,Production,2009,t,333100.000000,A
3,Albania,15,Wheat,Production,2010,t,294900.000000,A
3,Albania,15,Wheat,Production,2011,t,292800.000000,A
4,Algeria,15,Wheat,Production,2006,t,2687930.000000,A
4,Algeria,15,Wheat,Production,2007,t,2318963.000000,A
4,Algeria,15,Wheat,Production,2008,t,1111033.000000,A
4,Algeria,15,Wheat,Production,2009,t,2953117.000000,A
4,Algeria,15,Wheat,Production,2010,t,2605178.000000,A
4,Algeria,15,Wheat,Production,2011,t,2910890.000000,A
7,Angola,15,Wheat,Production,2006,t,4000.000000,X
7,Angola,15,Wheat,Production,2007,t,4000.000000,X
7,Angola,15,Wheat,Production,2008,t,4000.000000,X
7,Angola,15,Wheat,Production,2009,t,4000.000000,X
7,Angola,15,Wheat,Production,2010,t,4000.000000,X
7,Angola,15,Wheat,Production,2011,t,4000.000000,X
9,Argentina,15,Wheat,Production,2006,t,14547960.000000,A
9,Argentina,15,Wheat,Production,2007,t,16354091.000000,A
9,Argentina,15,Wheat,Production,2008,t,8376452.000000,A
9,Argentina,15,Wheat,Production,2009,t,9023139.000000,A
9,Argentina,15,Wheat,Production,2010,t,15875653.000000,A
9,Argentina,15,Wheat,Production,2011,t,14500519.000000,A
1,Armenia,15,Wheat,Production,2006,t,146544.000000,A
1,Armenia,15,Wheat,Production,2007,t,254233.000000,A
1,Armenia,15,Wheat,Production,2008,t,225734.000000,A
1,Armenia,15,Wheat,Production,2009,t,198080.000000,A
1,Armenia,15,Wheat,Production,2010,t,183464.000000,A
1,Armenia,15,Wheat,Production,2011,t,224082.000000,A
10,Australia,15,Wheat,Production,2006,t,10821628.000000,A
10,Australia,15,Wheat,Production,2007,t,13569378.000000,A
10,Australia,15,Wheat,Production,2008,t,21420177.000000,A
10,Australia,15,Wheat,Production,2009,t,21834010.000000,A
10,Australia,15,Wheat,Production,2010,t,27410076.000000,A
10,Australia,15,Wheat,Production,2011,t,29905009.000000,A
11,Austria,15,Wheat,Production,2006,t,1396300.000000,A
11,Austria,15,Wheat,Production,2007,t,1399341.000000,A
11,Austria,15,Wheat,Production,2008,t,1689688.000000,A
11,Austria,15,Wheat,Production,2009,t,1523368.000000,A
11,Austria,15,Wheat,Production,2010,t,1517805.000000,A
11,Austria,15,Wheat,Production,2011,t,1781837.000000,A
52,Azerbaijan,15,Wheat,Production,2006,t,1460303.000000,A
52,Azerbaijan,15,Wheat,Production,2007,t,1305458.000000,A
52,Azerbaijan,15,Wheat,Production,2008,t,1645792.000000,A
