Area Code,Area,Item Code,Item,Element,Year,Unit,Value,Flag
145,Micronesia (Federated States of),17,Bran of wheat,Import Quantity,2008,t,0.880000,X
145,Micronesia (Federated States of),17,Bran of wheat,Import Quantity,2009,t,1.230000,X
145,Micronesia (Federated States of),17,Bran of wheat,Import Quantity,2010,t,2.770000,X
145,Micronesia (Federated States of),20,Bread,Import Quantity,2006,t,1.860000,X
145,Micronesia (Federated States of),20,Bread,Import Quantity,2007,t,3.490000,X
145,Micronesia (Federated States of),20,Bread,Import Quantity,2008,t,3.400000,X
145,Micronesia (Federated States of),20,Bread,Import Quantity,2009,t,3.770000,X
145,Micronesia (Federated States of),20,Bread,Import Quantity,2010,t,7.530000,X
145,Micronesia (Federated States of),20,Bread,Import Quantity,2011,t,13.180000,X
180,Palau,20,Bread,Import Quantity,2006,t,2.220000,X
180,Palau,20,Bread,Import Quantity,2007,t,5.970000,X
180,Palau,20,Bread,Import Quantity,2008,t,5.780000,X
180,Palau,20,Bread,Import Quantity,2009,t,4.920000,X
180,Palau,20,Bread,Import Quantity,2010,t,7.960000,X
180,Palau,20,Bread,Import Quantity,2011,t,8.010000,X
145,Micronesia (Federated States of),20,Bread,Export Quantity,2011,t,0.020000,X
145,Micronesia (Federated States of),41,Breakfast cereals,Import Quantity,2006,t,58.000000,E
145,Micronesia (Federated States of),41,Breakfast cereals,Import Quantity,2007,t,4.000000,X
145,Micronesia (Federated States of),41,Breakfast cereals,Import Quantity,2008,t,0.000000,X
145,Micronesia (Federated States of),41,Breakfast cereals,Import Quantity,2009,t,0.000000,X
145,Micronesia (Federated States of),41,Breakfast cereals,Import Quantity,2010,t,19.000000,X
145,Micronesia (Federated States of),41,Breakfast cereals,Import Quantity,2011,t,33.000000,X
180,Palau,41,Breakfast cereals,Import Quantity,2006,t,6.460000,X
180,Palau,41,Breakfast cereals,Import Quantity,2007,t,6.960000,X
180,Palau,41,Breakfast cereals,Import Quantity,2008,t,7.170000,X
180,Palau,41,Breakfast cereals,Import Quantity,2009,t,53.630000,X
180,Palau,41,Breakfast cereals,Import Quantity,2010,t,10.320000,X
180,Palau,41,Breakfast cereals,Import Quantity,2011,t,12.160000,X
145,Micronesia (Federated States of),41,Breakfast cereals,Export Quantity,2009,t,0.000000,X
227,Tuvalu,20,Bread,Import Quantity,2006,t,117.000000,A
268,European Union (25) (excluding intra-trade),17,Bran of wheat,Import Quantity,2006,t,9310.000000,E
227,Tuvalu,20,Bread,Import Quantity,2007,t,0.000000,X
227,Tuvalu,20,Bread,Import Quantity,2008,t,0.000000,X
227,Tuvalu,20,Bread,Import Quantity,2009,t,0.000000,X
227,Tuvalu,20,Bread,Import Quantity,2010,t,0.000000,X
227,Tuvalu,20,Bread,Import Quantity,2011,t,0.000000,X
268,European Union (25) (excluding intra-trade),17,Bran of wheat,Export Quantity,2006,t,206789.000000,E
268,European Union (25) (excluding intra-trade),20,Bread,Import Quantity,2006,t,11987.000000,E
268,European Union (25) (excluding intra-trade),20,Bread,Export Quantity,2006,t,91507.000000,E
268,European Union (25) (excluding intra-trade),41,Breakfast cereals,Import Quantity,2006,t,27456.000000,E
268,European Union (25) (excluding intra-trade),41,Breakfast cereals,Export Quantity,2006,t,151532.000000,E
227,Tuvalu,41,Breakfast cereals,Import Quantity,2006,t,7.000000,A
227,Tuvalu,41,Breakfast cereals,Import Quantity,2007,t,14.000000,X
227,Tuvalu,41,Breakfast cereals,Import Quantity,2008,t,19.000000,X
227,Tuvalu,41,Breakfast cereals,Import Quantity,2009,t,30.000000,X
227,Tuvalu,41,Breakfast cereals,Import Quantity,2010,t,0.000000,X
227,Tuvalu,41,Breakfast cereals,Import Quantity,2011,t,0.000000,X
127,Marshall Islands,17,Bran of wheat,Import Quantity,2009,t,1.750000,X
127,Marshall Islands,17,Bran of wheat,Import Quantity,2010,t,12.880000,X
127,Marshall Islands,17,Bran of wheat,Import Quantity,2011,t,0.350000,X
75,Gambia,20,Bread,Import Quantity,2006,t,4.000000,X
75,Gambia,20,Bread,Import Quantity,2007,t,37.000000,A
75,Gambia,20,Bread,Import Quantity,2008,t,36.000000,A
75,Gambia,20,Bread,Import Quantity,2009,t,7.000000,A
75,Gambia,20,Bread,Import Quantity,2010,t,26.000000,A
75,Gambia,20,Bread,Import Quantity,2011,t,76.000000,A
148,Naoero,17,Bran of wheat,Import Quantity,2006,t,0.000000,E
148,Naoero,17,Bran of wheat,Import Quantity,2007,t,0.000000,E
148,Naoero,17,Bran of wheat,Import Quantity,2008,t,0.000000,E
148,Naoero,17,Bran of wheat,Import Quantity,2009,t,0.000000,E
148,Naoero,17,Bran of wheat,Import Quantity,2010,t,0.000000,E
148,Naoero,17,Bran of wheat,Import Quantity,2011,t,0.000000,E
116,Democratic People's Republic of Korea,17,Bran of wheat,Import Quantity,2006,t,177.000000,X
116,Democratic People's Republic of Korea,17,Bran of wheat,Import Quantity,2007,t,130.000000,I
116,Democratic People's Republic of Korea,17,Bran of wheat,Import Quantity,2008,t,84.000000,X
127,Marshall Islands,20,Bread,Import Quantity,2006,t,1.200000,X
116,Democratic People's Republic of Korea,17,Bran of wheat,Import Quantity,2009,t,120.000000,I
127,Marshall Islands,20,Bread,Import Quantity,2007,t,10.140000,X
116,Democratic People's Republic of Korea,17,Bran of wheat,Import Quantity,2010,t,159.000000,X
127,Marshall Islands,20,Bread,Import Quantity,2008,t,5.470000,X
116,Democratic People's Republic of Korea,17,Bran of wheat,Import Quantity,2011,t,139.000000,X
127,Marshall Islands,20,Bread,Import Quantity,2009,t,12.410000,X
127,Marshall Islands,20,Bread,Import Quantity,2010,t,8.520000,X
127,Marshall Islands,20,Bread,Import Quantity,2011,t,2.410000,X
45,Comoros,20,Bread,Import Quantity,2006,t,0.000000,X
45,Comoros,20,Bread,Import Quantity,2007,t,1.000000,X
45,Comoros,20,Bread,Import Quantity,2008,t,8.000000,X
45,Comoros,20,Bread,Import Quantity,2009,t,1.000000,X
45,Comoros,20,Bread,Import Quantity,2010,t,0.000000,X
45,Comoros,20,Bread,Import Quantity,2011,t,3.000000,X
127,Marshall Islands,20,Bread,Export Quantity,2011,t,0.030000,X
127,Marshall Islands,41,Breakfast cereals,Import Quantity,2006,t,8.560000,X
127,Marshall Islands,41,Breakfast cereals,Import Quantity,2007,t,45.240000,X
127,Marshall Islands,41,Breakfast cereals,Import Quantity,2008,t,207.660000,X
127,Marshall Islands,41,Breakfast cereals,Import Quantity,2009,t,47.900000,X
127,Marshall Islands,41,Breakfast cereals,Import Quantity,2010,t,9.790000,X
127,Marshall Islands,41,Breakfast cereals,Import Quantity,2011,t,22.430000,X
213,Turkmenistan,17,Bran of wheat,Import Quantity,2006,t,0.000000,E
213,Turkmenistan,17,Bran of wheat,Import Quantity,2007,t,0.000000,E
213,Turkmenistan,17,Bran of wheat,Import Quantity,2008,t,0.000000,E
213,Turkmenistan,17,Bran of wheat,Import Quantity,2009,t,0.000000,E
213,Turkmenistan,17,Bran of wheat,Import Quantity,2010,t,0.000000,E
213,Turkmenistan,17,Bran of wheat,Import Quantity,2011,t,0.000000,E
45,Comoros,41,Breakfast cereals,Import Quantity,2006,t,7.000000,X
45,Comoros,41,Breakfast cereals,Import Quantity,2007,t,2.000000,X
45,Comoros,41,Breakfast cereals,Import Quantity,2008,t,0.000000,X
45,Comoros,41,Breakfast cereals,Import Quantity,2009,t,0.000000,X
45,Comoros,41,Breakfast cereals,Import Quantity,2010,t,0.000000,X
45,Comoros,41,Breakfast cereals,Import Quantity,2011,t,0.000000,X
75,Gambia,41,Breakfast cereals,Import Quantity,2006,t,142.000000,X
75,Gambia,41,Breakfast cereals,Import Quantity,2007,t,412.000000,A
127,Marshall Islands,41,Breakfast cereals,Export Quantity,2010,t,0.160000,X
75,Gambia,41,Breakfast cereals,Import Quantity,2008,t,320.000000,A
75,Gambia,41,Breakfast cereals,Import Quantity,2009,t,185.000000,A
75,Gambia,41,Breakfast cereals,Import Quantity,2010,t,433.000000,A
75,Gambia,41,Breakfast cereals,Import Quantity,2011,t,193.000000,A
39,Chad,20,Bread,Import Quantity,2006,t,1.000000,X
39,Chad,20,Bread,Import Quantity,2007,t,0.000000,X
39,Chad,20,Bread,Import Quantity,2008,t,0.000000,E
39,Chad,20,Bread,Import Quantity,2009,t,0.000000,E
39,Chad,20,Bread,Import Quantity,2010,t,2.000000,X
39,Chad,20,Bread,Import Quantity,2011,t,221.000000,X
75,Gambia,41,Breakfast cereals,Export Quantity,2007,t,4.000000,A
25,Solomon Islands,20,Bread,Import Quantity,2006,t,2459.000000,X
75,Gambia,41,Breakfast cereals,Export Quantity,2008,t,0.000000,X
25,Solomon Islands,20,Bread,Import Quantity,2007,t,309.000000,A
75,Gambia,41,Breakfast cereals,Export Quantity,2009,t,0.000000,E
25,Solomon Islands,20,Bread,Import Quantity,2008,t,26.000000,X
75,Gambia,41,Breakfast cereals,Export Quantity,2010,t,0.000000,E
25,Solomon Islands,20,Bread,Import Quantity,2009,t,6.000000,X
75,Gambia,41,Breakfast cereals,Export Quantity,2011,t,0.000000,E
25,Solomon Islands,20,Bread,Import Quantity,2010,t,23.000000,X
25,Solomon Islands,20,Bread,Import Quantity,2011,t,71.000000,A
269,European Union (27) (excluding Croatia) (excluding intra-trade),17,Bran of wheat,Import Quantity,2007,t,15299.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),17,Bran of wheat,Import Quantity,2008,t,43820.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),17,Bran of wheat,Import Quantity,2009,t,25798.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),17,Bran of wheat,Import Quantity,2010,t,38717.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),17,Bran of wheat,Import Quantity,2011,t,45328.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),17,Bran of wheat,Export Quantity,2007,t,90736.000000,E
208,Tajikistan,17,Bran of wheat,Export Quantity,2006,t,0.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),17,Bran of wheat,Export Quantity,2008,t,121530.000000,E
208,Tajikistan,17,Bran of wheat,Export Quantity,2007,t,0.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),17,Bran of wheat,Export Quantity,2009,t,166612.000000,E
208,Tajikistan,17,Bran of wheat,Export Quantity,2008,t,0.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),17,Bran of wheat,Export Quantity,2010,t,223376.000000,E
208,Tajikistan,17,Bran of wheat,Export Quantity,2009,t,0.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),17,Bran of wheat,Export Quantity,2011,t,165823.000000,E
208,Tajikistan,17,Bran of wheat,Export Quantity,2010,t,0.000000,E
208,Tajikistan,17,Bran of wheat,Export Quantity,2011,t,0.000000,E
39,Chad,41,Breakfast cereals,Import Quantity,2006,t,3568.000000,X
39,Chad,41,Breakfast cereals,Import Quantity,2007,t,131.000000,X
39,Chad,41,Breakfast cereals,Import Quantity,2008,t,421.000000,X
39,Chad,41,Breakfast cereals,Import Quantity,2009,t,421.000000,E
39,Chad,41,Breakfast cereals,Import Quantity,2010,t,2071.000000,X
39,Chad,41,Breakfast cereals,Import Quantity,2011,t,664.000000,X
269,European Union (27) (excluding Croatia) (excluding intra-trade),20,Bread,Import Quantity,2007,t,14902.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),20,Bread,Import Quantity,2008,t,16014.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),20,Bread,Import Quantity,2009,t,13038.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),20,Bread,Import Quantity,2010,t,14590.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),20,Bread,Import Quantity,2011,t,11308.000000,E
208,Tajikistan,20,Bread,Import Quantity,2006,t,209.000000,X
208,Tajikistan,20,Bread,Import Quantity,2007,t,335.000000,X
208,Tajikistan,20,Bread,Import Quantity,2008,t,423.000000,X
208,Tajikistan,20,Bread,Import Quantity,2009,t,307.000000,X
83,Kiribati,20,Bread,Import Quantity,2006,t,2.000000,X
25,Solomon Islands,20,Bread,Export Quantity,2006,t,0.000000,E
208,Tajikistan,20,Bread,Import Quantity,2010,t,236.000000,X
83,Kiribati,20,Bread,Import Quantity,2007,t,10.000000,X
25,Solomon Islands,20,Bread,Export Quantity,2007,t,0.000000,E
208,Tajikistan,20,Bread,Import Quantity,2011,t,320.000000,X
83,Kiribati,20,Bread,Import Quantity,2008,t,74.000000,X
25,Solomon Islands,20,Bread,Export Quantity,2008,t,0.000000,E
83,Kiribati,20,Bread,Import Quantity,2009,t,147.000000,A
25,Solomon Islands,20,Bread,Export Quantity,2009,t,0.000000,E
83,Kiribati,20,Bread,Import Quantity,2010,t,82.000000,X
269,European Union (27) (excluding Croatia) (excluding intra-trade),20,Bread,Export Quantity,2007,t,99900.000000,E
25,Solomon Islands,20,Bread,Export Quantity,2010,t,0.000000,E
83,Kiribati,20,Bread,Import Quantity,2011,t,181.000000,A
269,European Union (27) (excluding Croatia) (excluding intra-trade),20,Bread,Export Quantity,2008,t,105211.000000,E
25,Solomon Islands,20,Bread,Export Quantity,2011,t,0.000000,A
269,European Union (27) (excluding Croatia) (excluding intra-trade),20,Bread,Export Quantity,2009,t,106160.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),20,Bread,Export Quantity,2010,t,122990.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),20,Bread,Export Quantity,2011,t,134011.000000,E
269,European Union (27) (excluding Croatia) (excluding intra-trade),41,Breakfast cereals,Import Quantity,2007,t,34277.000000,E
197,Sierra Leone,17,Bran of wheat,Export Quantity,2006,t,1225.000000,X
269,European Union (27) (excluding Croatia) (excluding intra-trade),41,Breakfast cereals,Import Quantity,2008,t,33271.000000,E
