year,month,grain,price_nominal_usd_mt,price_real_2010_usd_mt,source_series
1960,1,maize,45.0,235.1123595505618,Maize
1960,2,maize,44.0,229.88764044943818,Maize
1960,3,maize,45.0,235.1123595505618,Maize
1960,4,maize,45.0,235.1123595505618,Maize
1960,5,maize,48.0,250.78651685393257,Maize
1960,6,maize,47.0,245.56179775280899,Maize
1960,7,maize,47.0,245.56179775280899,Maize
1960,8,maize,47.0,245.56179775280899,Maize
1960,9,maize,46.0,240.33707865168537,Maize
1960,10,maize,42.0,219.438202247191,Maize
1960,11,maize,38.0,198.53932584269663,Maize
1960,12,maize,40.0,208.98876404494382,Maize
1961,1,maize,43.0,220.16,Maize
1961,2,maize,44.0,225.28,Maize
1961,3,maize,44.0,225.28,Maize
1961,4,maize,43.0,220.16,Maize
1961,5,maize,45.0,230.4,Maize
1961,6,maize,44.0,225.28,Maize
1961,7,maize,45.0,230.4,Maize
1961,8,maize,44.0,225.28,Maize
1961,9,maize,43.0,220.16,Maize
1961,10,maize,47.6,243.71200000000002,Maize
1961,11,maize,48.4,247.808,Maize
1961,12,maize,48.4,247.808,Maize
1962,1,maize,48.0,241.18275154004107,Maize
1962,2,maize,48.0,241.18275154004107,Maize
1962,3,maize,48.8,245.2024640657084,Maize
1962,4,maize,48.8,245.2024640657084,Maize
1962,5,maize,49.6,249.22217659137576,Maize
1962,6,maize,49.6,249.22217659137576,Maize
1962,7,maize,48.8,245.2024640657084,Maize
1962,8,maize,47.2,237.1630390143737,Maize
1962,9,maize,47.6,239.17289527720737,Maize
1962,10,maize,47.6,239.17289527720737,Maize
1962,11,maize,48.4,243.19260780287473,Maize
1962,12,maize,51.2,257.26160164271045,Maize
1963,1,maize,52.8,270.3791821561338,Maize
1963,2,maize,53.2,272.4275092936803,Maize
1963,3,maize,52.4,268.3308550185874,Maize
1963,4,maize,52.0,266.2825278810409,Maize
1963,5,maize,52.4,268.3308550185874,Maize
1963,6,maize,55.5,284.2053903345725,Maize
1963,7,maize,56.7,290.3503717472119,Maize
1963,8,maize,55.5,284.2053903345725,Maize
1963,9,maize,55.9,286.253717472119,Maize
1963,10,maize,53.2,272.4275092936803,Maize
1963,11,maize,52.4,268.3308550185874,Maize
1963,12,maize,53.5,273.9637546468402,Maize
1964,1,maize,55.1,278.62838827838834,Maize
1964,2,maize,52.8,266.99780219780223,Maize
1964,3,maize,54.3,274.5829670329671,Maize
1964,4,maize,55.5,280.6510989010989,Maize
1964,5,maize,55.9,282.67380952380955,Maize
1964,6,maize,56.3,284.6965201465202,Maize
1964,7,maize,55.9,282.67380952380955,Maize
1964,8,maize,54.7,276.6056776556777,Maize
1964,9,maize,55.1,278.62838827838834,Maize
1964,10,maize,52.8,266.99780219780223,Maize
1964,11,maize,52.8,266.99780219780223,Maize
1964,12,maize,54.3,274.5829670329671,Maize
1965,1,maize,55.9,279.70071813285455,Maize
1965,2,maize,56.7,283.7035906642729,Maize
1965,3,maize,57.1,285.705026929982,Maize
1965,4,maize,57.5,287.7064631956912,Maize
1965,5,maize,58.7,293.71077199281865,Maize
1965,6,maize,58.3,291.7093357271095,Maize
1965,7,maize,56.7,283.7035906642729,Maize
1965,8,maize,55.1,275.69784560143626,Maize
1965,9,maize,53.9,269.6935368043088,Maize
1965,10,maize,51.6,258.18527827648114,Maize
1965,11,maize,51.6,258.18527827648114,Maize
1965,12,maize,55.1,275.69784560143626,Maize
1966,1,maize,57.1,275.60789022298457,Maize
1966,2,maize,57.1,275.60789022298457,Maize
1966,3,maize,55.5,267.88507718696394,Maize
1966,4,maize,55.9,269.8157804459691,Maize
1966,5,maize,55.1,265.95437392795884,Maize
1966,6,maize,57.1,275.60789022298457,Maize
1966,7,maize,59.1,285.2614065180103,Maize
1966,8,maize,62.6,302.1550600343053,Maize
1966,9,maize,61.0,294.4322469982847,Maize
1966,10,maize,58.7,283.33070325900513,Maize
1966,11,maize,59.1,285.2614065180103,Maize
1966,12,maize,61.4,296.36295025728987,Maize
1967,1,maize,60.2,288.0920517560074,Maize
1967,2,maize,59.1,282.82791127541583,Maize
1967,3,maize,59.1,282.82791127541583,Maize
1967,4,maize,57.9,277.085212569316,Maize
1967,5,maize,57.1,273.2567467652495,Maize
1967,6,maize,57.1,273.2567467652495,Maize
1967,7,maize,55.1,263.68558225508315,Maize
1967,8,maize,52.0,248.85027726432529,Maize
1967,9,maize,49.2,235.4506469500924,Maize
1967,10,maize,48.0,229.70794824399258,Maize
1967,11,maize,47.6,227.79371534195928,Maize
1967,12,maize,46.9,224.44380776340105,Maize
1968,1,maize,51.6,248.8625,Maize
1968,2,maize,51.2,246.93333333333337,Maize
1968,3,maize,50.0,241.14583333333334,Maize
1968,4,maize,48.0,231.5,Maize
1968,5,maize,48.4,233.42916666666667,Maize
1968,6,maize,47.6,229.57083333333335,Maize
1968,7,maize,47.2,227.6416666666667,Maize
1968,8,maize,44.9,216.54895833333333,Maize
1968,9,maize,44.1,212.690625,Maize
1968,10,maize,44.9,216.54895833333333,Maize
1968,11,maize,49.2,237.28750000000002,Maize
1968,12,maize,48.4,233.42916666666667,Maize
1969,1,maize,50.4,230.89560229445507,Maize
1969,2,maize,50.4,230.89560229445507,Maize
1969,3,maize,50.4,230.89560229445507,Maize
1969,4,maize,51.6,236.39311663479924,Maize
1969,5,maize,54.3,248.7625239005736,Maize
1969,6,maize,54.3,248.7625239005736,Maize
1969,7,maize,53.9,246.9300191204589,Maize
1969,8,maize,53.5,245.0975143403442,Maize
1969,9,maize,51.2,234.56061185468454,Maize
1969,10,maize,51.9,237.7674952198853,Maize
1969,11,maize,53.2,243.72313575525814,Maize
1969,12,maize,52.4,240.05812619502868,Maize
1970,1,maize,58.4,251.6,Maize
1970,2,maize,58.4,251.6,Maize
1970,3,maize,58.4,251.6,Maize
1970,4,maize,58.4,251.6,Maize
1970,5,maize,58.4,251.6,Maize
1970,6,maize,58.4,251.6,Maize
1970,7,maize,58.4,251.6,Maize
1970,8,maize,58.4,251.6,Maize
1970,9,maize,58.4,251.6,Maize
1970,10,maize,58.4,251.6,Maize
1970,11,maize,58.4,251.6,Maize
1970,12,maize,58.4,251.6,Maize
1971,1,maize,58.4,239.2,Maize
1971,2,maize,58.4,239.2,Maize
1971,3,maize,58.4,239.2,Maize
1971,4,maize,58.4,239.2,Maize
1971,5,maize,58.4,239.2,Maize
1971,6,maize,58.4,239.2,Maize
1971,7,maize,58.4,239.2,Maize
1971,8,maize,58.4,239.2,Maize
1971,9,maize,58.4,239.2,Maize
1971,10,maize,58.4,239.2,Maize
1971,11,maize,58.4,239.2,Maize
1971,12,maize,58.4,239.2,Maize
1972,1,maize,51.3,192.4209677419355,Maize
1972,2,maize,51.7,193.92132616487459,Maize
1972,3,maize,52.5,196.9220430107527,Maize
1972,4,maize,53.7,201.42311827956993,Maize
1972,5,maize,54.5,204.42383512544805,Maize
1972,6,maize,52.9,198.42240143369176,Maize
1972,7,maize,54.1,202.923476702509,Maize
1972,8,maize,55.7,208.92491039426525,Maize
1972,9,maize,59.2,222.0530465949821,Maize
1972,10,maize,57.2,214.55125448028676,Maize
1972,11,maize,59.2,222.0530465949821,Maize
1972,12,maize,67.1,251.68512544802869,Maize
1973,1,maize,79.1,256.14488752556235,Maize
1973,2,maize,81.1,262.62137014314925,Maize
1973,3,maize,79.9,258.73548057259717,Maize
1973,4,maize,77.8,251.93517382413089,Maize
1973,5,maize,89.0,288.2034764826176,Maize
1973,6,maize,101.2,327.71002044989774,Maize
1973,7,maize,109.4,354.2635991820041,Maize
1973,8,maize,122.4,396.36073619631907,Maize
1973,9,maize,107.1,346.8156441717791,Maize
1973,10,maize,106.4,344.5488752556237,Maize
1973,11,maize,107.9,349.40623721881394,Maize
1973,12,maize,112.6,364.62597137014313,Maize
1974,1,maize,112.3,298.38246951219514,Maize
1974,2,maize,131.1,348.3342987804878,Maize
1974,3,maize,126.4,335.84634146341466,Maize
1974,4,maize,114.2,303.43079268292684,Maize
1974,5,maize,113.7,302.1022865853659,Maize
1974,6,maize,116.6,309.8076219512195,Maize
1974,7,maize,132.3,351.5227134146342,Maize
1974,8,maize,145.8,387.39237804878053,Maize
1974,9,maize,141.4,375.70152439024395,Maize
1974,10,maize,151.6,402.8030487804878,Maize
1974,11,maize,144.1,382.8754573170732,Maize
1974,12,maize,145.3,386.0638719512196,Maize
1975,1,maize,131.7,315.155016722408,Maize
1975,2,maize,120.5,288.3536789297659,Maize
1975,3,maize,120.2,287.6357859531773,Maize
1975,4,maize,119.7,286.43929765886287,Maize
1975,5,maize,114.5,273.99581939799333,Maize
1975,6,maize,119.1,285.00351170568564,Maize
1975,7,maize,119.8,286.67859531772575,Maize
1975,8,maize,131.6,314.91571906354517,Maize
1975,9,maize,122.3,292.66103678929767,Maize
1975,10,maize,116.9,279.73896321070237,Maize
1975,11,maize,110.3,263.9453177257525,Maize
1975,12,maize,109.2,261.3130434782609,Maize
1976,1,maize,110.3,260.6377224199288,Maize
1976,2,maize,113.2,267.4903914590747,Maize
1976,3,maize,113.1,267.2540925266904,Maize
1976,4,maize,111.1,262.5281138790035,Maize
1976,5,maize,118.2,279.3053380782918,Maize
1976,6,maize,121.8,287.8120996441281,Maize
1976,7,maize,121.3,286.63060498220636,Maize
1976,8,maize,116.1,274.3430604982206,Maize
1976,9,maize,115.0,271.7437722419929,Maize
1976,10,maize,106.2,250.94946619217083,Maize
1976,11,maize,98.7,233.2270462633452,Maize
1976,12,maize,103.5,244.5693950177936,Maize
1977,1,maize,111.6,243.9056603773585,Maize
1977,2,maize,110.6,241.72012578616352,Maize
1977,3,maize,108.0,236.03773584905662,Maize
1977,4,maize,105.8,231.22955974842768,Maize
1977,5,maize,100.9,220.52044025157235,Maize
1977,6,maize,94.5,206.53301886792454,Maize
1977,7,maize,85.0,185.77044025157232,Maize
1977,8,maize,76.9,168.0676100628931,Maize
1977,9,maize,78.3,171.12735849056602,Maize
1977,10,maize,83.2,181.8364779874214,Maize
1977,11,maize,93.4,204.12893081761007,Maize
1977,12,maize,96.0,209.81132075471697,Maize
1978,1,maize,95.8,180.27904667328698,Maize
1978,2,maize,101.0,190.06454816285998,Maize
1978,3,maize,106.1,199.66186693147964,Maize
1978,4,maize,111.5,209.82373386295927,Maize
1978,5,maize,112.7,212.0819265143992,Maize
1978,6,maize,106.6,200.60278053624626,Maize
1978,7,maize,97.3,183.10178748758688,Maize
1978,8,maize,92.0,173.12810327706057,Maize
1978,9,maize,91.0,171.2462760675273,Maize
1978,10,maize,95.9,180.46722939424032,Maize
1978,11,maize,100.5,189.12363455809336,Maize
1978,12,maize,98.5,185.35998013902682,Maize
1979,1,maize,105.4,177.76554112554115,Maize
1979,2,maize,107.0,180.46406926406928,Maize
1979,3,maize,109.5,184.68051948051948,Maize
1979,4,maize,111.5,188.05367965367967,Maize
1979,5,maize,112.6,189.90891774891773,Maize
1979,6,maize,120.4,203.06424242424245,Maize
1979,7,maize,130.5,220.09870129870131,Maize
1979,8,maize,118.9,200.5343722943723,Maize
1979,9,maize,118.0,199.0164502164502,Maize
1979,10,maize,119.1,200.8716883116883,Maize
1979,11,maize,118.2,199.35376623376624,Maize
1979,12,maize,115.3,194.46268398268398,Maize
1980,1,maize,105.4,161.50678371907424,Maize
1980,2,maize,113.9,174.53152434158022,Maize
1980,3,maize,110.4,169.16839584996012,Maize
1980,4,maize,108.2,165.79728651237033,Maize
1980,5,maize,110.0,168.55546687948925,Maize
1980,6,maize,113.6,174.07182761372707,Maize
1980,7,maize,128.9,197.51636073423785,Maize
1980,8,maize,143.5,219.8882681564246,Maize
1980,9,maize,140.8,215.75099760574625,Maize
1980,10,maize,140.4,215.13806863527535,Maize
1980,11,maize,146.6,224.63846767757383,Maize
1980,12,maize,141.5,216.82362330407025,Maize
1981,1,maize,148.8,227.86422018348625,Maize
1981,2,maize,143.3,219.44181957186547,Maize
1981,3,maize,142.1,217.60420489296635,Maize
1981,4,maize,145.5,222.81077981651376,Maize
1981,5,maize,141.3,216.37912844036697,Maize
1981,6,maize,136.1,208.41613149847092,Maize
1981,7,maize,137.6,210.7131498470948,Maize
1981,8,maize,127.1,194.6340214067278,Maize
1981,9,maize,115.5,176.87041284403668,Maize
1981,10,maize,112.7,172.58264525993883,Maize
1981,11,maize,111.8,171.2044342507645,Maize
1981,12,maize,107.6,164.77278287461772,Maize
1982,1,maize,115.4,182.12717291857277,Maize
1982,2,maize,112.6,177.708142726441,Maize
1982,3,maize,114.2,180.23330283623056,Maize
1982,4,maize,117.8,185.9149130832571,Maize
1982,5,maize,118.1,186.38838060384265,Maize
1982,6,maize,115.0,181.49588289112535,Maize
1982,7,maize,115.0,181.49588289112535,Maize
1982,8,maize,102.3,161.45242451967064,Maize
1982,9,maize,100.9,159.24290942360477,Maize
1982,10,maize,91.7,144.72323879231473,Maize
1982,11,maize,102.9,162.39935956084173,Maize
1982,12,maize,105.5,166.50274473924978,Maize
1983,1,maize,107.8,174.77867647058824,Maize
1983,2,maize,117.3,190.18125,Maize
1983,3,maize,125.2,202.98970588235295,Maize
1983,4,maize,133.4,216.2845588235294,Maize
1983,5,maize,133.9,217.0952205882353,Maize
1983,6,maize,135.0,218.87867647058823,Maize
1983,7,maize,140.6,227.9580882352941,Maize
1983,8,maize,152.8,247.73823529411766,Maize
1983,9,maize,147.8,239.63161764705885,Maize
1983,10,maize,148.2,240.2801470588235,Maize
1983,11,maize,147.0,238.33455882352942,Maize
1983,12,maize,143.3,232.3356617647059,Maize
1984,1,maize,141.9,235.3514348785872,Maize
1984,2,maize,137.0,227.22442972774098,Maize
1984,3,maize,147.1,243.97601177336276,Maize
1984,4,maize,148.0,245.46872700515084,Maize
1984,5,maize,146.1,242.31743929359823,Maize
1984,6,maize,147.0,243.8101545253863,Maize
1984,7,maize,142.6,236.51243561442234,Maize
1984,8,maize,138.8,230.20986019131715,Maize
1984,9,maize,130.4,216.27785136129506,Maize
1984,10,maize,121.2,201.01898454746137,Maize
1984,11,maize,117.4,194.71640912435615,Maize
1984,12,maize,114.0,189.07726269315674,Maize
1985,1,maize,119.0,199.39393939393938,Maize
1985,2,maize,119.8,200.7344028520499,Maize
1985,3,maize,120.2,201.40463458110517,Maize
1985,4,maize,120.1,201.23707664884134,Maize
1985,5,maize,116.7,195.54010695187165,Maize
1985,6,maize,116.0,194.36720142602496,Maize
1985,7,maize,114.9,192.524064171123,Maize
1985,8,maize,105.5,176.77361853832443,Maize
1985,9,maize,101.9,170.7415329768271,Maize
1985,10,maize,98.6,165.2121212121212,Maize
1985,11,maize,106.2,177.94652406417111,Maize
1985,12,maize,107.9,180.795008912656,Maize
1986,1,maize,107.8,156.90068493150687,Maize
1986,2,maize,103.2,150.20547945205482,Maize
1986,3,maize,100.9,146.8578767123288,Maize
1986,4,maize,101.3,147.4400684931507,Maize
1986,5,maize,105.6,153.6986301369863,Maize
1986,6,maize,103.5,150.64212328767124,Maize
1986,7,maize,83.0,120.80479452054796,Maize
1986,8,maize,72.3,105.23116438356165,Maize
1986,9,maize,65.7,95.62500000000001,Maize
1986,10,maize,65.3,95.04280821917808,Maize
1986,11,maize,72.4,105.37671232876714,Maize
1986,12,maize,69.6,101.3013698630137,Maize
1987,1,maize,67.9,90.2343461030383,Maize
1987,2,maize,66.1,87.84227212681637,Maize
1987,3,maize,71.6,95.15138705416115,Maize
1987,4,maize,74.9,99.53685601056803,Maize
1987,5,maize,81.8,108.70647291941874,Maize
1987,6,maize,80.7,107.24464993394979,Maize
1987,7,maize,76.4,101.53025099075296,Maize
1987,8,maize,71.7,95.28428005284015,Maize
1987,9,maize,73.6,97.80924702774107,Maize
1987,10,maize,78.9,104.85257595772786,Maize
1987,11,maize,81.7,108.57357992073976,Maize
1987,12,maize,83.2,110.56697490092469,Maize
1988,1,maize,85.9,107.19420018709076,Maize
1988,2,maize,88.0,109.81478016838167,Maize
1988,3,maize,90.2,112.56014967259122,Maize
1988,4,maize,89.5,111.68662301216091,Maize
1988,5,maize,89.3,111.43704396632367,Maize
1988,6,maize,120.3,150.12179607109448,Maize
1988,7,maize,125.5,156.6108512628625,Maize
1988,8,maize,119.9,149.62263797942003,Maize
1988,9,maize,121.4,151.49448082319927,Maize
1988,10,maize,121.4,151.49448082319927,Maize
1988,11,maize,114.4,142.75921421889618,Maize
1988,12,maize,116.9,145.87895229186157,Maize
1989,1,maize,118.2,148.41255605381167,Maize
