year,scenario,region,production,consumption,exports,S_producer,S_consumer
2000,undisturbed,USA,58.428400100000005,33.920639599999994,27.6820261,22.019703399999997,9.9656721
2001,undisturbed,USA,58.428400100000005,33.7438756,29.779460700000005,21.0061234,9.930327100000001
2002,undisturbed,USA,58.428400100000005,33.4187074,30.835990399999996,20.1060591,9.898882
2003,undisturbed,USA,58.428400100000005,33.202919300000005,29.294952,20.6549093,9.933857
2004,undisturbed,USA,58.428400100000005,33.27846089999999,30.6610233,20.042981100000002,9.9000749
2005,undisturbed,USA,58.428400100000005,33.1564542,29.402358200000002,20.6114611,9.9313684
2006,undisturbed,USA,58.428400100000005,33.2708534,30.5432019,20.1354283,9.904145000000002
2007,undisturbed,USA,58.428400100000005,33.2036691,29.2394511,20.6815909,9.934012300000001
2008,undisturbed,USA,58.428400100000005,33.289315,30.650726300000002,20.0534199,9.900682399999999
2009,undisturbed,USA,58.428400100000005,33.1485988,29.5939745,20.4491942,9.9258495
2010,undisturbed,USA,58.428400100000005,33.2292341,30.5358571,19.993145700000003,9.8998198
2011,undisturbed,USA,58.428400100000005,33.1381806,29.486292900000006,20.468522,9.9269211
2012,undisturbed,USA,58.428400100000005,33.2292829,30.488490900000002,20.0525609,9.9015771
2000,undisturbed,Ukraine,19.103,12.213621999999999,6.5204225000000005,8.1888889,2.0863047999999997
2001,undisturbed,Ukraine,19.103,12.2570882,6.967605,8.0684412,2.0860007
2002,undisturbed,Ukraine,19.103,12.2367953,7.111849599999999,7.8261180999999995,2.0846038
2003,undisturbed,Ukraine,19.103,12.1713749,6.828528,7.9272823,2.0866992
2004,undisturbed,Ukraine,19.103,12.192573200000002,7.036974000000001,7.802459,2.0857654
2005,undisturbed,Ukraine,19.103,12.1592546,6.763762300000001,7.9800344,2.0875137
2006,undisturbed,Ukraine,19.103,12.2048565,7.0492763,7.8311151,2.0854464
2007,undisturbed,Ukraine,19.103,12.1661685,6.829915500000001,7.9362984,2.0870362
