,undisturbed
2003-01,7726.114873295518
2003-02,212121.0516458618
2003-03,213546.3324652778
2003-04,132581.41737446407
2003-05,2529.583597900512
2003-06,803.7060047065982
2003-07,274.504517157407
2003-08,119.24208245410699
2003-09,217.78871398262328
2003-10,294.33761925192516
2003-11,651.207033036
2003-12,117.90669027879969
2004-01,52.44290680080543
2004-02,199.63243333221777
2004-03,263.79263614997086
2004-04,307.9067913232232
2004-05,263.19343144957054
2004-06,266.9349864549748
2004-07,196.18875679336696
2004-08,188.6035738176884
2004-09,230.03271188802591
2004-10,183.7404794412121
2004-11,473.8142056952261
2004-12,383.7822998354769
2005-01,1635.6059505501235
2005-02,119.81552199638328
2005-03,314.08818079177365
2005-04,361.5072865965128
2005-05,400.3768187265438
2005-06,242.46699481740097
2005-07,213.31955725063835
2005-08,187.6728836565914
2005-09,238.38699372660318
2005-10,204.6221842023648
2005-11,211.06732403393812
2005-12,446.06736933774323
2006-01,2290.3031847604207
2006-02,89.81890585687057
2006-03,450.67968250945694
2006-04,570.1058229733304
2006-05,703.8764377626753
2006-06,240.58918754899435
2006-07,224.77419282520827
2006-08,177.63008788621354
2006-09,256.81241296968795
2006-10,242.12590625581808
2006-11,219.57423537667512
2006-12,514.3547655153343
2007-01,2471.6843338888843
2007-02,127.65835636623706
2007-03,581.2069397291103
2007-04,550.2397655028682
2007-05,605.2257403361991
2007-06,274.638066774439
2007-07,220.68784396560747
2007-08,182.21313096312633
2007-09,254.4557233884773
2007-10,224.9059776408303
2007-11,318.80967209541626
2007-12,518.0140043200122
2008-01,2268.423428508672
2008-02,117.81960863118785
2008-03,493.2677354057362
2008-04,572.2158849691316
2008-05,694.498675288722
2008-06,261.184560522561
2008-07,226.77037404883836
2008-08,190.73574457851177
2008-09,260.2078655456139
2008-10,224.983765519311
2008-11,264.07042832986116
2008-12,578.9470895233567
2009-01,2134.529024361771
2009-02,99.59994498249206
2009-03,716.5216118284429
2009-04,733.74742287355
2009-05,616.9314295802897
2009-06,282.35856035220877
2009-07,224.9401903790939
2009-08,189.24971685559223
2009-09,279.28788267015034
2009-10,245.94300037197823
2009-11,242.5077084644252
2009-12,642.8573746855158
2010-01,3040.7052384218005
2010-02,131.6018850402703
2010-03,695.0642945995583
2010-04,685.4991428788114
2010-05,602.667977931296
2010-06,284.49537390342897
2010-07,222.45039176909273
2010-08,195.15746198590222
2010-09,301.0800602089845
2010-10,257.68720678272723
2010-11,299.8632124660258
2010-12,469.18288539385037
2011-01,1678.658995929112
2011-02,124.97321945162973
2011-03,509.07970749529943
2011-04,581.3232697992898
2011-05,561.8541183203345
2011-06,284.36361903561726
2011-07,209.51590116743364
2011-08,193.81471634830808
2011-09,233.2903089526563
2011-10,189.76185166975412
2011-11,47.84890473553743
2011-12,737.4809952129116
