,undisturbed_vw
2003-01,15229.72243207886
2003-02,212444.06832453152
2003-03,213546.33246527778
2003-04,48987.88050895326
2003-05,1499.3789636263996
2003-06,519.2567408561449
2003-07,269.3740563660903
2003-08,146.32171073156826
2003-09,82.06927178698137
2003-10,55.95801950674779
2003-11,14.111054302883886
2003-12,41.28532045227234
2004-01,296.8084775210137
2004-02,207.93242086491355
2004-03,133.16954729661649
2004-04,405.5201123401878
2004-05,645.6782672775292
2004-06,330.6198467906966
2004-07,156.9049732026245
2004-08,98.31958648083284
2004-09,56.37315422819233
2004-10,49.65946165406597
2004-11,157.0497977771582
2004-12,134.31464628433795
2005-01,124.48789270086141
2005-02,133.01116577474764
2005-03,145.11093314096007
2005-04,297.46421292861055
2005-05,292.7695259544399
2005-06,144.85719880006113
2005-07,144.30596203597165
2005-08,123.45785043177152
2005-09,168.72625798831754
2005-10,97.81426840372623
2005-11,108.30944511492412
2005-12,252.26751352113848
2006-01,56.686665543764995
2006-02,94.172372687104
2006-03,130.8127221149052
2006-04,189.28471313234363
2006-05,415.51550197411535
2006-06,385.1555908917877
2006-07,210.9464067706113
2006-08,204.4223772221649
2006-09,183.99821950400448
2006-10,78.07337805112253
2006-11,46.43174738614894
2006-12,180.89021336944035
2007-01,152.37110345165894
2007-02,135.79813236963525
2007-03,119.95613436614524
2007-04,277.7285796430023
2007-05,98.79587930201583
2007-06,314.6885439468349
2007-07,236.35783259669154
2007-08,202.85244992823084
2007-09,174.6041060837298
2007-10,170.71993557494596
2007-11,147.99150213126453
2007-12,292.4949048628242
2008-01,243.86389160303108
2008-02,141.74671633526546
2008-03,151.79760828240384
2008-04,371.2413125731831
2008-05,259.4788412225865
2008-06,209.98526977455757
2008-07,239.05072647608878
2008-08,197.3518555893765
2008-09,188.80770354354996
2008-10,73.15283871304557
2008-11,69.63379685520101
2008-12,328.7319089306006
2009-01,52.38997374780867
2009-02,102.41170182138468
2009-03,114.38381651418158
2009-04,207.70975657924978
2009-05,682.9280965205099
2009-06,355.82629374373136
2009-07,224.63197818115728
2009-08,213.29256450082843
2009-09,171.6153764390101
2009-10,68.27905661890718
2009-11,42.1507990687575
2009-12,281.25152877611214
2010-01,101.46859501336797
2010-02,149.15813081988603
2010-03,139.65886520750004
2010-04,620.7730297086056
2010-05,248.61579644943973
2010-06,343.7404101550411
2010-07,253.87096178179468
2010-08,198.29550938751632
2010-09,165.4022206653859
2010-10,130.42227550842574
2010-11,81.32395030592878
2010-12,309.3605262273807
2011-01,199.23791184630866
2011-02,152.9839820385788
2011-03,205.4245582457409
2011-04,150.87583742841016
2011-05,87.14843829241501
2011-06,315.927718555826
2011-07,173.836602073413
2011-08,210.0679580808843
2011-09,153.29335432498934
2011-10,27.182829958445165
2011-11,12.663780461222053
2011-12,100.93944877300903
