region,n_psd_members,psd_members,psd_mean_production,psd_sum_production,psd_mean_consumption,psd_sum_consumption,psd_mean_ending_stocks,psd_sum_ending_stocks,model_H_annual,host_over_psd_sum,construction
USA,1,United States,61.43366666666666,61.43366666666666,31.327333333333332,31.327333333333332,17.58066666666667,17.58066666666667,61.43366666666667,1.0000000000000002,single_psd_row
Russia,1,Russia,58.30100000000001,58.30100000000001,38.827333333333335,38.827333333333335,9.978333333333333,9.978333333333333,58.301,0.9999999999999999,single_psd_row
Ukraine,1,Ukraine,20.229666666666667,20.229666666666667,12.166666666666666,12.166666666666666,2.513,2.513,20.22966666666667,1.0000000000000002,single_psd_row
EU-27,1,European Union,137.49166666666667,137.49166666666667,123.29266666666668,123.29266666666668,16.456333333333333,16.456333333333333,137.4916666666667,1.0000000000000002,single_psd_row
Argentina,1,Argentina,13.866666666666667,13.866666666666667,5.6000000000000005,5.6000000000000005,1.9829999999999999,1.9829999999999999,13.866666666666667,1.0,single_psd_row
Australia,1,Australia,18.941000000000003,18.941000000000003,6.400000000000001,6.400000000000001,3.970666666666667,3.970666666666667,18.941,0.9999999999999998,single_psd_row
Canada,1,Canada,25.21966666666667,25.21966666666667,7.314333333333334,7.314333333333334,6.251333333333332,6.251333333333332,25.21966666666666,0.9999999999999997,single_psd_row
India,1,India,78.352,78.352,75.16433333333333,75.16433333333333,11.783333333333333,11.783333333333333,78.352,1.0,single_psd_row
China,2,China|Hong Kong,56.36483333333334,112.72966666666667,53.555666666666674,107.11133333333332,23.322999999999997,46.645999999999994,112.72966666666669,1.0000000000000002,member_sum
Eastern Africa,10,Eritrea|Ethiopia|Kenya|Madagascar|Mauritius|Mozambique|Somalia|Tanzania|Zambia|Zimbabwe,0.3314333333333333,3.3143333333333334,0.6555000000000001,6.555,0.05526666666666667,0.5526666666666666,3.3143333333333334,1.0,member_sum
