region,H_usda,H_fbsh,H_ratio,C_usda,C_fbsh,C_ratio,XI_usda,XI_fbsh,XI_ratio,Psi_usda,Psi_fbsh
Argentina,13.866666666666667,11.372666666666667,0.8201442307692308,6.184170316611026,2.3836450831118916,0.38544298767278257,7.699743088640542,9.007309520255488,1.1698194883338384,0.32065740406171406,0.32065740406171406
Australia,18.941,18.881666666666668,0.9968674656389139,6.724360001996681,8.808860591147244,1.3099924139295944,12.350807414272527,10.353603106948512,0.8382936240252555,0.5904899002265862,0.5904899002265862
Brazil,4.910333333333333,5.065666666666666,1.0316339691806393,10.685847009257502,11.818487851892687,1.1059944842607181,0.7743430040149515,0.4609419938839795,0.5952684940575499,0.2037586100050878,0.2037586100050878
Canada,25.21966666666666,25.219666666666665,1.0000000000000002,7.741303290765325,7.500494327467555,0.9688929687608244,18.01046788734765,18.412115253899334,1.0223007735870004,0.8075298303827741,0.8075298303827741
China,112.72966666666669,112.29233333333335,0.9961205124944926,113.16831803379537,112.61352042922192,0.9950975890230358,1.5432122170823601,1.7307519047433066,1.1215255332902394,0.41218249780888433,0.41218249780888433
EU-27,137.4916666666667,122.41999999999997,0.8903812352263769,125.67510683018662,84.07550766818618,0.6689909385300129,20.036007792573862,49.442551544832796,2.467684783151171,0.13094346007256064,0.13094346007256064
India,78.352,78.352,1.0,83.6238818697003,84.19633366758958,1.006845553986375,0.03561169669819775,0.13878769102324442,3.897250170342719,0.14090871016599896,0.14090871016599896
Kazakhstan,15.35166666666667,15.352333333333334,1.000043426338074,8.126658642969195,8.350281878884418,1.0275172424165608,7.440090237932907,7.156099516965261,0.9618296671296089,0.5413869168078141,0.5413869168078141
Pakistan,22.762333333333334,22.762333333333334,1.0,21.688060169284583,22.66175340452149,1.0448953584431626,1.529050168012636,0.5243907191298874,0.34295193846481686,0.14989814555218653,0.14989814555218653
Russia,58.301,58.291,0.9998284763554656,43.23931534605779,44.83163553001653,1.036825749233421,16.38753674481632,14.956389420643745,0.9126685513229881,0.23076991977032024,0.23076991977032024
Turkey,16.916666666666668,18.538666666666668,1.0958817733990147,15.867325988552842,18.022975825637666,1.1358546385597657,2.73905449332866,2.4246612114339543,0.8852183179778083,0.12360830897079303,0.12360830897079303
USA,61.43366666666667,61.40066666666668,0.9994628352532001,36.679399464778506,35.59116069456967,0.9703310635918722,28.64058415783117,30.643081913190237,1.0699181882717126,0.4793062842686002,0.4793062842686002
Ukraine,20.22966666666667,20.236333333333334,1.0003295490121766,12.633918213331366,12.956581120512759,1.0255394171256322,7.8696722900298735,7.572008664236719,0.9621758550009426,0.19890899700049275,0.19890899700049275
Central America,3.976333333333333,3.886333333333333,0.977366082655713,9.910050003741182,10.291810318894749,1.0385225417641128,1.305400908343401,1.9973565376385776,1.5300713557594288,0.09333958957329173,0.09333958957329173
Rest of Central Asia,8.730666666666664,10.430333333333333,1.1946777642028104,10.763820862961932,12.602755113379668,1.1708440036145036,0.2678359868391232,0.036689862445374095,0.13698630597915887,0.2238672212539579,0.2238672212539579
Eastern Africa,3.3143333333333334,3.2860000000000005,0.9914512722518356,6.828786501738092,7.5494035112373545,1.1055263639177837,0.033862636458132145,0.23642271992469976,6.98181667623587,0.08093190005662053,0.08093190005662053
Rest of Eastern Asia,1.4126666666666663,1.2493333333333334,0.8843794242567251,10.903518899661444,10.887169333534787,0.9985005238880116,0.39532943553559785,0.3560582053503389,0.9006620133609485,0.22338354150441234,0.22338354150441234
Rest of Europe,6.44,21.211666666666666,3.2937370600414075,12.069709730664488,28.881179076246568,2.392864428451879,0.7845209128120846,3.8130092176484216,4.8603028362632665,0.18730083134668787,0.18730083134668787
Middle Africa,0.022000000000000002,0.014000000000000002,0.6363636363636364,1.5093585546471862,2.687026007350665,1.7802436664751005,0.0,0.006000000000000002,,0.023630347180828598,0.023630347180828598
Northern Africa,16.115,16.011,0.9935463853552591,38.80263419863965,51.16163880256221,1.3185094223411213,0.3997992698438546,0.30870995815614954,0.772162386081193,0.25163240078021065,0.25163240078021065
Rest of Oceania,0.36366666666666675,0.36333333333333334,0.9990834097158569,1.256566067401874,1.1010323390089638,0.876223198741553,0.016230638797271088,0.0855327583831943,5.269833150225437,0.19550636694703757,0.19550636694703757
Rest of South America,4.336666666666668,3.785333333333333,0.8728670253651034,8.783655670638854,9.07144956112845,1.0327647054120763,1.6970789315967256,1.4751430024059244,0.8692247454972593,0.2627607554921531,0.2627607554921531
Rest of Southern Asia,18.139999999999997,18.786666666666665,1.035648658581404,23.739263454549608,23.372973734608216,0.984570299721275,0.2575096531997124,0.5551722291277305,2.1559278350515463,0.2092595111966129,0.2092595111966129
Southeast Asia,0.6623076096719959,0.6616462940357781,0.9990014977533699,12.524123811390577,12.089768672806535,0.9653185208701786,0.6623076096719959,0.6616462940357781,0.9990014977533699,0.2429178582989062,0.2429178582989062
Southern Africa,2.0036666666666667,2.0156666666666667,1.005989020129762,3.076322732051076,3.860242958123017,1.2548237926744694,0.33979738369279533,0.15272894916702154,0.449470644850818,0.22169325503286527,0.22169325503286527
Western Africa,0.4637930443818029,0.14376658916483198,0.3099800458552817,6.001010883842238,9.214987085064902,1.5355724666116366,0.4637930443818029,0.14376658916483198,0.3099800458552817,0.04038208528929976,0.04038208528929976
Rest of Western Asia,9.550666666666668,6.061,0.6346153846153845,23.831280771505174,21.50873829649498,0.9025422721808878,0.6288556439137407,0.7670656755431343,1.2197802197802199,0.3572475499028308,0.3572475499028308
