param,value,scenario,corr,hike_2008_model,pidx_min,pidx_max,failed,unconverged,n_solves,runtime_s
alpha_i,3.2,harvest_amis,-0.07740283837315097,2.3127223446526437,0.030713360744084175,3.768823001634713,0,611,1944,6.727977350001311
alpha_i,5.0,harvest_amis,-0.08687000015548899,2.945516243731156,0.0028791463532776276,10.046021309885122,0,603,1944,6.775958696001908
alpha_i,10.0,harvest_amis,-0.06527680458462709,3.577654240088403,0.0031329986914379448,473.4897223249745,0,721,1944,7.452415850999387
p_sto_annual,0.05,harvest_amis,-0.19058668143758445,1.960139703513289,0.18597409649878058,3.913321315406666,0,705,1944,7.259245621000446
p_sto_annual,0.1,harvest_amis,-0.07740283837315097,2.3127223446526437,0.030713360744084175,3.768823001634713,0,611,1944,6.736605400001281
p_sto_annual,0.15,harvest_amis,-0.2408204010745904,2.267980502042212,0.1013442215238833,3.8178005048968338,0,637,1944,6.5256593150006665
xmin_share,0.1,harvest_amis,-0.3000555059508396,2.208638877513647,0.014628572625321863,3.942596739125197,0,455,1944,5.906313685998612
xmin_share,0.2,harvest_amis,-0.07740283837315097,2.3127223446526437,0.030713360744084175,3.768823001634713,0,611,1944,6.771617852002237
eps_c,0.1,harvest_amis,-0.07740283837315097,2.3127223446526437,0.030713360744084175,3.768823001634713,0,611,1944,6.712153207998199
eps_c,0.2,harvest_amis,-0.07740283837315097,2.3127223446526437,0.030713360744084175,3.768823001634713,0,611,1944,6.720181380002032
sigma_ces,2.0,harvest_amis,-0.07740283837315097,2.3127223446526437,0.030713360744084175,3.768823001634713,0,611,1944,6.709885574000509
sigma_ces,2.5,harvest_amis,-0.07740283837315097,2.3127223446526437,0.030713360744084175,3.768823001634713,0,611,1944,6.841200384998956
