region,iso3,source,yaml,extra_regions
Argentina,ARG,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Australia,AUS,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Canada,CAN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,ABW,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,AIA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,ANT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,ATG,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,BES,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,BHS,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,BLM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,BLZ,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,BMU,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,BRB,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,CRI,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,CUB,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,CUW,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,CYM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,DMA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,DOM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,GLP,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,GRD,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,GTM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,HND,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,HTI,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,JAM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,KNA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,LCA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,MAF,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,MEX,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,MSR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,MTQ,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,NIC,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,PAN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,PRI,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,SLV,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,SXM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,TCA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,TTO,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,VCT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,VGB,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Central America,VIR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
China,CHN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
China,HKG,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
China,MAC,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
China,TWN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,AUT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,BEL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,BGR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,BLX,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,CSK,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,CYP,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,CZE,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,DEU,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,DNK,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,ESP,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,EST,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,FIN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,FRA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,GBR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,GRC,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,HRV,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,HUN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,IRL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,ITA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,LTU,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,LUX,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,LVA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,MLT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,NLD,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,POL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,PRT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,ROU,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,SVK,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,SVN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
EU-28,SWE,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,ATF,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,BDI,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,COM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,DJI,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,ERI,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,ETH,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,IOT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,KEN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,MDG,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,MOZ,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,MUS,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,MWI,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,MYT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,REU,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,RWA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,SOM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,SSD,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,SYC,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,TZA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,UGA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,ZMB,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Eastern Africa,ZWE,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Egypt,EGY,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
India,IND,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Kazakhstan,KAZ,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Middle Africa,AGO,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Middle Africa,CAF,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Middle Africa,CMR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Middle Africa,COD,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Middle Africa,COG,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Middle Africa,GAB,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Middle Africa,GNQ,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Middle Africa,STP,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Middle Africa,TCD,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Northern Africa,DZA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Northern Africa,ESH,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Northern Africa,LBY,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Northern Africa,MAR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Northern Africa,SDN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Northern Africa,TUN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Pakistan,PAK,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Central Asia,KGZ,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Central Asia,TJK,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Central Asia,TKM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Central Asia,UZB,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Eastern Asia,JPN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Eastern Asia,KOR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Eastern Asia,MNG,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Eastern Asia,PRK,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,ALA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,ALB,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,AND,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,BIH,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,BLR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,CHE,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,FRO,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,GGY,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,GIB,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,IMN,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,ISL,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,JEY,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,LIE,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,MCO,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,MDA,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,MKD,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,MNE,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,NOR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,SCG,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,SJM,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,SMR,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,SRB,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,VAT,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,XKX,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
Rest of Europe,YUG,agrimate_eu28_egypt,AgrimateEU28,Egypt=EGY
