year,month,model_price,world_stock,leg,obs_price
2006,1,136.15701337204825,480.6316762947543,full,114.15791632485644
2006,2,130.8409731966856,423.8852615084977,full,119.04881050041016
2006,3,124.76195356861554,382.5492057883848,full,117.04799015586543
2006,4,117.9493517059887,341.73138636109593,full,119.7157506152584
2006,5,111.42406264792203,292.8531671684314,full,122.93929450369151
2006,6,106.54678511168413,236.0286241215356,full,121.60541427399508
2006,7,103.38406450217632,168.67398865084874,full,126.71862182116487
2006,8,103.15669286210081,103.78327176799124,full,129.6086956521739
2006,9,101.74852714471311,233.92702246716235,full,135.27768662838392
2006,10,97.08458372021144,438.648815031241,full,158.06480721903196
2006,11,95.84704956828477,544.6259222747558,full,182.85274815422477
2006,12,127.40541114868674,508.7544620139509,full,178.29532403609517
2007,1,126.32836545764512,440.4351628099604,full,172.65241295051928
2007,2,125.74366464085723,385.97067416695165,full,185.74801466096525
2007,3,125.29462419032153,344.0831647856123,full,178.6240073304826
2007,4,130.10862334574404,302.68515343319723,full,159.9758704948076
2007,5,162.74159302314803,255.23781449632847,full,167.8332315210751
2007,6,186.7797248897544,203.5172440320905,full,173.0714722052535
2007,7,200.778820982729,143.77214574420398,full,153.7947464874771
2007,8,205.03768782692876,85.38662134784371,full,158.40439828955408
2007,9,202.94144488809542,229.97371261269473,full,166.99511301160663
2007,10,194.28693257985563,463.5498419920151,full,172.02382406841784
2007,11,194.13772332834242,593.7605266495173,full,179.46212583995117
2007,12,203.72461715157016,563.6832348275598,full,188.89095907147225
2008,1,213.98762349065325,494.8570538564565,full,201.04840878529808
2008,2,215.43828793173648,441.6820447587703,full,214.08202599731064
2008,3,219.9613553021603,401.5911090826283,full,227.99103541013
2008,4,224.2060456737723,361.98807906663615,full,239.6629314208875
2008,5,226.91391018893313,316.4086284595054,full,236.84222321828776
2008,6,227.97981283426157,265.3556855944332,full,279.2501120573734
2008,7,226.07082179921298,206.49466973775657,full,258.0461676378306
2008,8,220.53481600427813,147.33887166472581,full,228.57463021066783
2008,9,215.9134975131375,292.32372774814746,full,227.40744060959213
2008,10,207.5540529158908,522.685922676706,full,178.09367996414164
2008,11,194.7739789908834,644.8993423160458,full,159.32138054684
2008,12,193.94056731071618,609.0718015417481,full,153.97176154190947
2009,1,194.34371642603247,536.2073121796714,full,179.16906344410876
2009,2,192.50739587430525,479.25594917986973,full,169.4225981873112
2009,3,192.444932838961,436.2595790287676,full,170.66682779456193
2009,4,192.05376351037125,394.6586723444269,full,174.7105740181269
2009,5,190.88560424605996,345.88142997396136,full,186.53075528700907
2009,6,189.33992506786734,290.06799441002784,full,186.11601208459217
2009,7,186.86691208263096,224.9165782002167,full,157.18767371601209
2009,8,188.22651489114128,159.51129847732776,full,157.602416918429
2009,9,181.78722048832708,293.99366770050403,full,155.94344410876133
2009,10,180.2859235018815,515.0257935118698,full,173.46634441087613
2009,11,185.08345327472313,633.922215062224,full,177.924833836858
2009,12,192.9433034058035,597.0251005500381,full,170.66682779456193
2010,1,197.28080105079457,524.9320467007628,full,167.3
2010,2,200.1939581150799,468.23090195698876,full,161.8
2010,3,208.1624826516503,424.67184133531146,full,159.0
2010,4,227.80642930549985,382.8959253963499,full,157.1
2010,5,241.55331252055555,335.04719819629213,full,163.4
2010,6,252.8624639510977,281.2082600560392,full,152.7
2010,7,261.76790721839166,219.09073375404432,full,163.8
2010,8,245.07373103627228,157.15424505292833,full,175.6
2010,9,249.3071432220329,292.5551335540102,full,205.9
2010,10,244.66644978527432,512.1985278894537,full,235.8
2010,11,251.5865041855838,630.1477010520415,full,238.2
2010,12,260.4081619662083,596.7456922981903,full,250.4
2011,1,271.93750545760065,529.3550047392071,full,238.5643812135756
2011,2,288.1819500192903,479.74610021604315,full,263.78069934864584
2011,3,299.1896978840971,443.55379630299115,full,261.61930065135414
2011,4,310.1474906153327,407.33860897379543,full,287.556085018855
2011,5,314.98940894299494,362.9181759763335,full,277.28944120671923
2011,6,316.462189489923,311.62326640573144,full,279.72101474117244
2011,7,313.3910385632601,251.14154050401277,full,270.89530339389785
2011,8,287.3682073521626,190.1020928187089,full,279.36078162495716
2011,9,281.372844999145,333.5830418098059,full,265.9420980459376
2011,10,263.3789204245712,558.3614818119133,full,247.480150839904
2011,11,240.49989783941396,674.743346695955,full,247.1199177236887
2011,12,225.03778395149138,634.1478743887869,full,232.8907096331848
2006,1,136.15701337204825,480.6316762947543,shocks,114.15791632485644
2006,2,130.8409731966856,423.8852615084977,shocks,119.04881050041016
2006,3,124.76195356861554,382.5492057883848,shocks,117.04799015586543
2006,4,117.9493517059887,341.73138636109593,shocks,119.7157506152584
2006,5,111.42406264792203,292.8531671684314,shocks,122.93929450369151
2006,6,106.54678511168413,236.0286241215356,shocks,121.60541427399508
2006,7,103.38406450217632,168.67398865084874,shocks,126.71862182116487
2006,8,103.15669286210081,103.78327176799124,shocks,129.6086956521739
2006,9,101.74852714471311,233.92702246716235,shocks,135.27768662838392
2006,10,97.08458372021144,438.648815031241,shocks,158.06480721903196
2006,11,95.84704956828477,544.6259222747558,shocks,182.85274815422477
2006,12,127.40541114868674,508.7544620139509,shocks,178.29532403609517
2007,1,126.32836545764512,440.4351628099604,shocks,172.65241295051928
2007,2,125.74366464085723,385.97067416695165,shocks,185.74801466096525
2007,3,125.29462419032153,344.0831647856123,shocks,178.6240073304826
2007,4,130.10862334574404,302.68515343319723,shocks,159.9758704948076
2007,5,151.51264879886196,255.04849395333514,shocks,167.8332315210751
2007,6,163.34335064255248,202.10354697086862,shocks,173.0714722052535
2007,7,168.34310130699205,140.39085927186386,shocks,153.7947464874771
2007,8,166.90125603995796,80.70698632604262,shocks,158.40439828955408
2007,9,160.00756485386512,223.62162149186,shocks,166.99511301160663
2007,10,148.69309493983326,453.90726651369744,shocks,172.02382406841784
2007,11,138.64696182321825,580.7744875978218,shocks,179.46212583995117
2007,12,139.40777992831494,546.7597547352275,shocks,188.89095907147225
2008,1,145.59494446575013,473.58086821762674,shocks,201.04840878529808
2008,2,139.7479616420016,415.80971839329675,shocks,214.08202599731064
2008,3,136.0405066246166,369.58419881792037,shocks,227.99103541013
2008,4,131.66292818605393,322.83645454470843,shocks,239.6629314208875
2008,5,127.95940124316152,269.6135496574386,shocks,236.84222321828776
2008,6,126.88044915327106,210.6620218344591,shocks,279.2501120573734
2008,7,132.8009053518668,144.28588255646315,shocks,258.0461676378306
2008,8,146.1968556409121,80.81036329512294,shocks,228.57463021066783
2008,9,139.52992353182793,222.5567564602248,shocks,227.40744060959213
2008,10,130.09061991751628,447.3687376718401,shocks,178.09367996414164
2008,11,127.31011773216986,569.066839003849,shocks,159.32138054684
2008,12,144.9472721272465,535.1475151034471,shocks,153.97176154190947
2009,1,165.2497323091111,464.47718670184736,shocks,179.16906344410876
2009,2,197.52258188978027,408.59465215455117,shocks,169.4225981873112
2009,3,207.55949934853388,366.7906775657698,shocks,170.66682779456193
2009,4,209.58372199070106,326.71530950072867,shocks,174.7105740181269
2009,5,209.3790289092853,280.3473688519075,shocks,186.53075528700907
2009,6,209.8607746285469,227.969212990817,shocks,186.11601208459217
2009,7,207.91015386471415,166.6606633987488,shocks,157.18767371601209
2009,8,195.60049716100266,104.00794569912814,shocks,157.602416918429
2009,9,191.41123889643418,239.73824643127358,shocks,155.94344410876133
2009,10,176.35181789812367,462.6986625742194,shocks,173.46634441087613
2009,11,163.85733943111424,584.9375714716695,shocks,177.924833836858
2009,12,164.65888030924705,550.3135008117133,shocks,170.66682779456193
2010,1,173.48173072381618,478.6152980539884,shocks,167.3
2010,2,202.66712011646732,421.82694100785795,shocks,161.8
2010,3,213.47346648829898,378.7853049978872,shocks,159.0
2010,4,215.4119940179818,337.4622937742307,shocks,157.1
2010,5,215.45058893931738,289.90603194491234,shocks,163.4
2010,6,216.14139953595492,236.31154461839577,shocks,152.7
2010,7,214.6445813085671,174.06210677379752,shocks,163.8
2010,8,200.69554383404207,110.82443271757735,shocks,175.6
2010,9,197.63299450744842,244.10835051710325,shocks,205.9
2010,10,183.57153125647423,461.7590212953009,shocks,235.8
2010,11,169.77787806927006,579.4933783637191,shocks,238.2
2010,12,179.54778984529548,545.1608913070199,shocks,250.4
2011,1,218.0807141144397,476.23591553628273,shocks,238.5643812135756
2011,2,233.82633850392241,424.80386263999065,shocks,263.78069934864584
2011,3,237.4132535609754,386.28712309363186,shocks,261.61930065135414
2011,4,232.78328778373418,348.11595927395615,shocks,287.556085018855
2011,5,228.36233536025685,301.9842634082488,shocks,277.28944120671923
2011,6,226.59174439654055,248.69531027216408,shocks,279.72101474117244
2011,7,218.3505586604602,186.0706600996036,shocks,270.89530339389785
2011,8,201.15954114871624,122.31870338882263,shocks,279.36078162495716
2011,9,199.0966085883453,262.8927949541975,shocks,265.9420980459376
2011,10,190.28754462067974,487.1948895229674,shocks,247.480150839904
2011,11,171.63632622505264,605.477468122355,shocks,247.1199177236887
2011,12,155.61974006642944,566.6921048895078,shocks,232.8907096331848
2006,1,133.8241945222586,483.21586356021135,demand,114.15791632485644
2006,2,126.79015066938516,428.9818093904214,demand,119.04881050041016
2006,3,119.72077239065379,389.07835042486704,demand,117.04799015586543
2006,4,112.45236533610333,349.3638068779619,demand,119.7157506152584
2006,5,105.91147123107498,302.1240621114531,demand,122.93929450369151
2006,6,100.40629118035784,247.55214067150877,demand,121.60541427399508
2006,7,95.4309827145876,183.06528855936475,demand,126.71862182116487
2006,8,93.37544597631106,117.66819619947549,demand,129.6086956521739
2006,9,92.3205513197768,253.66365380518363,demand,135.27768662838392
2006,10,88.80729184859707,474.33132446617674,demand,158.06480721903196
2006,11,85.72691687998812,590.591055150054,demand,182.85274815422477
2006,12,86.56750019855548,552.5827533745714,demand,178.29532403609517
2007,1,88.14657312232181,476.100908901415,demand,172.65241295051928
2007,2,89.94560678295294,414.2962335140836,demand,185.74801466096525
2007,3,92.17655958447136,364.93148315558966,demand,178.6240073304826
2007,4,116.75312066850489,317.46177903044656,demand,159.9758704948076
2007,5,134.0743645049498,267.2910704399022,demand,167.8332315210751
2007,6,146.248018990587,213.27574169720828,demand,173.0714722052535
2007,7,147.68036271996434,151.3333455546083,demand,153.7947464874771
2007,8,143.62152982090885,90.1922430316203,demand,158.40439828955408
2007,9,138.32181763437606,229.65965259418664,demand,166.99511301160663
2007,10,129.8474043638473,452.1751883065093,demand,172.02382406841784
2007,11,126.01778167333478,571.9480421661706,demand,179.46212583995117
2007,12,127.36982487835704,537.9357809359399,demand,188.89095907147225
2008,1,132.50354401456178,468.11239733136165,demand,201.04840878529808
2008,2,128.52465028647575,412.1180695771445,demand,214.08202599731064
2008,3,138.4646893600418,367.4386495249282,demand,227.99103541013
2008,4,159.8012128844735,325.22230377052546,demand,239.6629314208875
2008,5,167.20574669897817,278.14426991726117,demand,236.84222321828776
2008,6,172.52239757415174,225.5813496435316,demand,279.2501120573734
2008,7,169.18232286260755,164.47542555093088,demand,258.0461676378306
2008,8,162.00056437714073,102.21747994599107,demand,228.57463021066783
2008,9,159.7751013401847,240.69864020653563,demand,227.40744060959213
2008,10,150.97153779128118,464.13048160611186,demand,178.09367996414164
2008,11,140.6349188542814,584.3499286846295,demand,159.32138054684
2008,12,141.56788856266897,550.0051067148204,demand,153.97176154190947
2009,1,150.79245294963533,478.5808200666994,demand,179.16906344410876
2009,2,178.99118324117993,422.1088174789465,demand,169.4225981873112
2009,3,191.9569005259444,379.4537403385725,demand,170.66682779456193
2009,4,196.49874781959835,338.33310009924,demand,174.7105740181269
2009,5,198.7698086397273,290.93416296414296,demand,186.53075528700907
2009,6,201.05853130602532,237.34344220198454,demand,186.11601208459217
2009,7,195.8614093196919,174.82603660145816,demand,157.18767371601209
2009,8,184.00824101931636,111.34517165316302,demand,157.602416918429
2009,9,182.38565590808696,248.56107301693643,demand,155.94344410876133
2009,10,172.9546292869995,470.81240026238555,demand,173.46634441087613
2009,11,160.4910940497693,590.1842154697318,demand,177.924833836858
2009,12,164.88604014523145,554.7454527795403,demand,170.66682779456193
2010,1,189.05062015704996,482.5522520030861,demand,167.3
2010,2,221.98688539157737,426.4196370598714,demand,161.8
2010,3,228.66549416234253,383.8481529894483,demand,159.0
2010,4,229.55971302024767,342.33134245542715,demand,157.1
2010,5,229.02180797863338,294.1274242828209,demand,163.4
2010,6,227.94401053615246,239.42998828652233,demand,152.7
2010,7,223.8158666851847,175.66824258372,demand,163.8
2010,8,208.38533850777392,111.10033514534236,demand,175.6
2010,9,204.8469683342539,247.25494140522167,demand,205.9
2010,10,191.2450071194816,468.61558716588013,demand,235.8
2010,11,178.79242332522978,587.6839246378811,demand,238.2
2010,12,195.23883330603746,551.9785304695788,demand,250.4
2011,1,212.05284490054635,480.96473917904984,demand,238.5643812135756
2011,2,240.9932464389567,425.0872270836114,demand,263.78069934864584
2011,3,251.59723189984763,382.51021332168125,demand,261.61930065135414
2011,4,251.54130316059855,341.0874642397158,demand,287.556085018855
2011,5,249.1241107471018,292.8860832961043,demand,277.28944120671923
2011,6,246.15739138333993,237.7658247778283,demand,279.72101474117244
2011,7,242.422927678529,173.72015058963768,demand,270.89530339389785
2011,8,225.45593746305215,109.4825002066562,demand,279.36078162495716
2011,9,219.85620229931152,245.9082326524118,demand,265.9420980459376
2011,10,200.21340293379424,467.0397252962171,demand,247.480150839904
2011,11,181.05126097521645,585.9280546646953,demand,247.1199177236887
2011,12,164.6506569761167,547.4611381397178,demand,232.8907096331848
2006,1,135.44442165709597,482.3148384595905,tau,114.15791632485644
2006,2,135.44442165709597,426.982094196878,tau,119.04881050041016
2006,3,135.44442165709597,387.10555877188403,tau,117.04799015586543
2006,4,135.44442165709597,348.4728137903506,tau,119.7157506152584
2006,5,135.44442165709597,303.3204426617335,tau,122.93929450369151
2006,6,135.44442165709597,251.90362058530792,tau,121.60541427399508
2006,7,135.44442165709597,191.42147648681095,tau,126.71862182116487
2006,8,135.44442165709597,131.38017588749813,tau,129.6086956521739
2006,9,135.44442165709597,272.7620206993645,tau,135.27768662838392
2006,10,135.44442165709597,498.8364040638931,tau,158.06480721903196
2006,11,135.44442165709597,618.175670206585,tau,182.85274815422477
2006,12,135.44442165709597,581.89949858144,tau,178.29532403609517
2007,1,135.44442165709597,509.18889804067624,tau,172.65241295051928
2007,2,135.44442165709597,452.4985459439175,tau,185.74801466096525
2007,3,135.44442165709597,411.5905979098808,tau,178.6240073304826
2007,4,135.44442165709597,372.8986488875172,tau,159.9758704948076
2007,5,127.44371028938778,327.4035837166075,tau,167.8332315210751
2007,6,125.48958155226022,274.5076527889561,tau,173.0714722052535
2007,7,124.98799442058674,212.37439488054576,tau,153.7947464874771
2007,8,122.95687056932162,151.2825954564638,tau,158.40439828955408
2007,9,121.38436829229525,291.4044273880726,tau,166.99511301160663
2007,10,125.1767839903664,515.1528541628896,tau,172.02382406841784
2007,11,130.64909071772263,631.7078351944753,tau,179.46212583995117
2007,12,133.28908026933658,593.5140757431075,tau,188.89095907147225
2008,1,138.44096439094932,519.4158499985646,tau,201.04840878529808
2008,2,140.01822830310226,462.0006750656919,tau,214.08202599731064
2008,3,144.3842101312161,420.83077966061,tau,227.99103541013
2008,4,148.48807318207554,383.08406860066304,tau,239.6629314208875
2008,5,151.55489973443093,339.0261284741031,tau,236.84222321828776
2008,6,153.48012558073123,288.5639300988285,tau,279.2501120573734
2008,7,152.6611762632265,229.13408800483725,tau,258.0461676378306
2008,8,148.72049367031474,169.7626173889237,tau,228.57463021066783
2008,9,146.75836519738354,311.6200454611846,tau,227.40744060959213
2008,10,159.95099244430645,537.7427571461496,tau,178.09367996414164
2008,11,169.07635203832888,655.6071115616104,tau,159.32138054684
2008,12,169.05162999484853,618.5942096944032,tau,153.97176154190947
2009,1,167.43535834084673,545.6922918849056,tau,179.16906344410876
2009,2,164.46935263013202,488.9377151248715,tau,169.4225981873112
2009,3,163.61718933792724,448.21069268191184,tau,170.66682779456193
2009,4,162.2093037507408,411.5471712412751,tau,174.7105740181269
2009,5,159.9872618787087,368.15763860389615,tau,186.53075528700907
2009,6,157.37707127358493,317.7092614266743,tau,186.11601208459217
2009,7,153.4072330316804,257.9733774047573,tau,157.18767371601209
2009,8,147.23669260310584,197.67378620573152,tau,157.602416918429
2009,9,141.3484703944692,338.7372112739274,tau,155.94344410876133
2009,10,145.3852433720457,563.244486053405,tau,173.46634441087613
2009,11,148.5901332349019,676.7131358544104,tau,177.924833836858
2009,12,147.3074781063346,635.4402025261932,tau,170.66682779456193
2010,1,146.29869930369347,558.9620016890566,tau,167.3
2010,2,144.59984024307144,499.05247724646716,tau,161.8
2010,3,144.61894665552097,455.5615866547979,tau,159.0
2010,4,144.35473954690474,416.5351936748046,tau,157.1
2010,5,143.4280283745307,371.16368977735226,tau,163.4
2010,6,142.10696933663718,318.8832185030067,tau,152.7
2010,7,139.36357318869392,257.4828968436608,tau,163.8
2010,8,134.8057665427673,195.66429956180338,tau,175.6
2010,9,131.05543495815434,335.42751950361526,tau,205.9
2010,10,137.0654075275155,558.9617405356373,tau,235.8
2010,11,141.34545271008108,671.9155217495634,tau,238.2
2010,12,142.07297387676692,630.390966683933,tau,250.4
2011,1,143.14793601387285,553.659417580275,tau,238.5643812135756
2011,2,143.0723139607365,493.66870643615556,tau,263.78069934864584
2011,3,144.9007458124588,450.27241965766837,tau,261.61930065135414
2011,4,146.2510303693728,411.4831957968705,tau,287.556085018855
2011,5,146.7691294146682,366.3920780282243,tau,277.28944120671923
2011,6,146.71641980800405,314.53791205056734,tau,279.72101474117244
2011,7,144.5147103442645,253.6789259232473,tau,270.89530339389785
2011,8,139.78569078189975,192.44825458625877,tau,279.36078162495716
2011,9,135.5692038935661,332.77955996617857,tau,265.9420980459376
2011,10,141.06254831684862,556.9141403299477,tau,247.480150839904
2011,11,150.01060660552508,670.4352837874707,tau,247.1199177236887
2011,12,158.28862680949214,628.5987795032404,tau,232.8907096331848
