crop,step,tag,episode,p,d_desired_dp,d_offers_dp,d_demand_dp,d_free_dp,d_ratio_dp,d_pscar_dp,d_ptrade_dp,d_pstar_dp,num_slope,analytic_scar_slope,trade_channel,free,shift,ratio,p_scar
wheat,24,2007-01a,2007/08,258.6189946715564,-0.01512793996383898,0.001842100460164396,-0.001199011344251861,0.015029391173385705,-0.0005692427360659162,-0.26351437297645197,0.0024687969426431134,-0.07732615403198644,-0.027064153909546782,-0.017056710299891694,0.0006048552509475627,33.64859077724353,6.442218333333336,1.5184515198632833,433.320671348654
wheat,26,2007-02a,2007/08,270.78581433406697,-0.014348928738489142,0.0017472417462182509,-0.0033075889041080326,0.011941617404468103,-0.00043932012266621783,-0.24116417677626745,0.014943211471085746,-0.06188900500994262,-0.021661151754004716,-0.014857796624490199,0.0036610868104160073,31.74814723385083,6.442218333333336,1.4049852307731001,452.53875018068095
wheat,28,2007-03a,2007/08,266.64118116247414,-0.014605719847371938,0.0017785107104934038,-0.0017601951570536734,0.013419318263329427,-0.0002730814384277578,-0.21415139641641442,0.052534929539702985,-0.027470968250329984,-0.009614838892412117,-0.009434056776635134,0.012871057737227229,42.347471747671435,6.442218333333336,0.9928640551183835,326.668149891849
wheat,30,2007-04a,2007/08,308.3274867350158,-0.012358768436279923,7.388200074622149e-05,-0.004412711463913468,0.0071267168233926015,-0.0002439306029763465,-0.13474545265140545,-7.954032269255668e-06,-0.04042920362538453,-0.014150221268423687,-0.010973893982760996,-1.9487379059676384e-06,34.94303416904417,6.442218333333336,1.416518973184167,606.9145758677535
wheat,32,2007-05a,2007/08,319.2745540446062,-0.011872722613270019,0.002089012794264594,-0.004077725369966489,0.006983080251351444,-0.0002053893311387649,-0.05934790249050349,-0.01282785683376846,-0.026783870540581133,-0.009374354679856332,-0.006139192521591461,-0.0031428249242732723,46.993558640683865,6.442218333333336,1.5716758358891594,447.4114036407974
wheat,34,2007-06a,2007/08,328.3139265851153,-0.011497583527431653,0.0026904610083600808,-0.0009697951437797538,0.009931279126600445,-9.875605798546954e-05,-0.04722006718257872,-0.003981396107900453,-0.016952997426841185,-0.00593354910242432,-0.003620144020314497,-0.0009754420464356109,113.11147868786651,6.442218333333336,1.188834960966502,415.0442214519403
wheat,36,2007-07a,2007/08,336.7138417136693,-0.011168353686789777,0.005643934265717573,-0.0006995842480545785,0.009654194008345194,-5.125845421761586e-05,-0.03908282979066536,-0.0034691258529275797,-0.01415323703087255,-0.004953632957429029,-0.001974385356124758,-0.0008499358339672569,202.90805995113192,6.442218333333336,1.1115347013047538,407.75579567575153
wheat,38,2007-08a,2007/08,363.7036412684463,-0.01022067262841937,0.005311569414652471,-0.0006284979202609741,0.008665599985252116,-2.96750674710138e-05,-0.007888133040694714,-0.0006893925044547918,-0.0028490146668896732,-0.0009971551345835643,-0.0013594780313237738,-0.00016890116359142396,306.280628888555,6.442218333333336,1.0709092975774352,467.2441458890749
wheat,40,2007-09a,2007/08,363.50027320457514,-0.01022724880587122,0.0052538474246938745,-0.0007478302899508804,0.00983357115884539,-7.24462818403153e-05,-0.02727010696263968,3.878336764122406e-06,-0.008178317261657804,-0.0028624110458806244,-0.002049300807978305,9.501925072099894e-07,134.65209983235724,6.442218333333336,1.0394757483052544,280.0365203254909
wheat,42,2007-10a,2007/08,366.701217898016,-0.010124651169502265,0.0014532812662497556,-0.0007755407501349723,0.008607370960217218,-0.00020542006767012427,-0.07645845117649248,-5.49125134110227e-05,-0.02297597410846014,-0.00804159093989871,-0.007558803022823699,-1.3453565785700559e-05,47.92946793651086,6.442218333333336,1.297612885857241,454.74298762246246
wheat,44,2007-11a,2007/08,384.92195478340983,-0.009575482993494698,0.003035467556111819,-0.0004186646132730946,0.007831112024923573,-0.00017311122333351628,-0.18434397275681283,0.008341721262462236,-0.049463986943320284,-0.017312395427577783,-0.007360493737351442,0.0020437217093032477,47.971103288703944,6.442218333333336,1.2028376865690893,487.07904932557585
wheat,46,2007-12a,2007/08,397.0328201803409,-0.00924036027635831,0.0027401223206110917,-0.0003995454511073123,0.00767014971749675,-0.0001306108791470143,-0.07597924313446461,0.0032876152743529573,-0.020492442249008168,-0.007172354789658344,-0.004619509134878463,0.0008054657422164744,54.4541969262976,6.442218333333336,1.0369725008568107,349.29664805630034
wheat,48,2008-01a,2007/08,408.5754175873059,-0.008940796418040967,0.001837996312458558,-0.00047211097498405354,0.0076649343718023415,-0.00010763967663194156,-0.07854224488653995,0.014425032840120498,-0.013465150473703861,-0.004712802660926945,-0.004282526440649225,0.0035341330458295217,62.42281803926197,6.442218333333336,0.9670807193982873,366.4384980774938
wheat,50,2008-02a,2007/08,421.1224447198871,-0.008635144853855876,0.0017751622621261772,-0.0006831515637369679,0.007385938071321788,-9.411609740771665e-05,-0.03348799879064318,0.013482800216672159,-0.0006084394902467697,-0.00021295382766050268,-0.003425906135741013,0.0033032860530846785,61.69031310788697,6.442218333333336,0.8681859913243908,300.97818862209107
wheat,52,2008-03a,2007/08,427.1400132751471,-0.008495393091875065,0.0017464329173338036,-0.0008755324585156011,0.00692068907207234,-5.8458271886403563e-05,-0.01910822064170612,0.021119944149189357,0.009051494717576578,0.0031680231481575217,-0.0020627784790600728,0.0051743863165513914,72.49044289866117,6.442218333333336,0.6667351940381315,224.0632856183308
wheat,54,2008-04a,calm,456.78398895810733,-0.007864511841202597,0.000819959986136416,-0.0005602825940318683,0.006023895464841474,-8.123471214520528e-05,-0.03926617307981509,-0.007661821206580458,-0.017143126762950926,-0.006000094371699424,-0.003997240840696908,-0.0018771461956122119,61.800899205459785,6.442218333333336,0.9202865557151946,431.27317754314714
wheat,56,2008-05a,calm,500.38281437466776,-0.007081765325359061,0.001074011827573471,-0.00048395904715206053,0.005384703398524662,-0.00010216978309333802,-0.038151030769586015,0.010937125792938028,-0.003789321176387184,-0.0013262624100315165,-0.004115411951932058,0.002679595819269817,61.38147856558687,6.442218333333336,1.2868921255622014,493.6779016304546
wheat,58,2008-06a,calm,525.822437572516,-0.006689201725442342,0.0014427058458122523,-0.0004008493747803474,0.0049967850228797486,-4.995777128907556e-05,-0.015327977879995758,0.00045410380872988165,-0.004280520702211963,-0.0014981822533414553,-0.001941727790215254,0.00011125543313882098,114.13051743019228,6.442218333333336,1.2054841518507742,446.2286978190029
wheat,60,2008-07a,calm,527.9156907426271,-0.006658708735732159,0.002828412303003199,-0.00041240809802991124,0.0052527371221814485,-2.7076167545097397e-05,-0.015056486841679836,-0.0008769037331646447,-0.0051307786560284355,-0.0017957725231494415,-0.000987338301926814,-0.00021484141462533793,207.49222045466095,6.442218333333336,1.1027631070255328,382.97614331870415
wheat,62,2008-08a,calm,521.9380887709508,-0.006746483068691106,0.0029241786574503515,-0.0004095472821672518,0.004991620835458702,-1.3958906048707844e-05,-0.005718679043066628,-0.00036967741065344756,-0.0019743779020110273,-0.0006910322711492772,-0.0005729694266257434,-9.057096561009465e-05,341.18548777411604,6.442218333333336,0.9721296241494538,380.02742903849577
wheat,64,2008-09a,calm,491.2831722150763,-0.007232819088760592,0.00314412510547466,-0.00033407351187536176,0.005522867148947879,-1.742045579630138e-05,-0.00530650984495073,-0.00048816151772954227,-0.001933666013003299,-0.0006767831080222741,-0.0005058416773056122,-0.00011959957184373784,211.30988555586754,6.442218333333336,0.6868426850292304,189.94290378792317
wheat,66,2008-10a,calm,445.4133654088605,-0.00809583303675372,0.0028923826509925257,-0.0004232351868178461,0.006922995475865149,-3.451379312577797e-05,-0.010223855187939128,-0.0002729214594123993,-0.0032582015840323434,-0.0011403705544113202,-0.0010035626904917726,-6.686575755603783e-05,114.81589659308378,6.442218333333336,0.6045183055400432,167.40636743396234
wheat,68,2008-11a,calm,408.43819354787365,-0.008944250946580438,0.00323489058196168,-0.0003705221285144007,0.007612399346314881,-3.6726146211469446e-05,-0.010539869528133017,4.287370228184234e-05,-0.0031319492720615887,-0.0010961822431339665,-0.001073156583568367,1.0504057059051372e-05,112.41604814749984,6.442218333333336,0.5734336672022372,159.58116223729166
wheat,70,2008-12a,calm,379.83768320529725,-0.009723027604222612,0.00434287645511694,-0.00027057173036537635,0.007572624576058223,-3.831744088803261e-05,-0.01080221628460828,-0.000742234909928552,-0.003760229317094655,-0.001316080265846815,-0.0011358664915534678,-0.00018184755293249524,107.6159859847135,6.442218333333336,0.5771339195845135,162.93639086850015
wheat,72,2009-01a,calm,355.21431536663243,-0.01050207814614668,0.004690846286221444,-0.00029225109417032507,0.00822496714153764,-3.852696744291844e-05,-0.010857814560684038,-0.0011432807657991136,-0.004057640898663692,-0.0014201743197331273,-0.0011423992035744428,-0.0002801037876207828,115.13170959087074,6.442218333333336,0.5694703312373597,160.81807877340302
wheat,74,2009-02a,calm,332.73789933987086,-0.011321961227524182,0.005057054330038302,-0.00031506674299424346,0.008923576507754334,-3.6234711043281524e-05,-0.010207215277024916,-0.0036287233270789728,-0.0056022709129169325,-0.0019607948242189002,-0.0010742183805019458,-0.0008890372151343482,116.84004990693772,6.442218333333336,0.500594953448032,141.33995373949716
wheat,76,2009-03a,calm,308.67935692436356,-0.012342568594374687,0.0055129176551934125,-0.0006439943200013639,0.009712690193865682,-3.4192922790540264e-05,-0.008213420154459956,0.021601563835942594,0.012657068641584083,0.004429974023633677,-0.001005910295100324,0.0052923831398059345,118.48671026591467,6.442218333333336,0.43980453661999475,123.22346962534154
wheat,78,2009-04a,calm,290.3454935800687,-0.013243016528350221,0.005121834579596126,-0.0004883615855155666,0.010455221303667847,-5.6949020312808266e-05,-0.016008093163372115,0.002072000863357463,-0.0033520273456403037,-0.0011732095699952135,-0.0016769989176987497,0.0005076402115225784,102.89045137872941,6.442218333333336,0.5955290899999631,167.01681840597666
wheat,80,2009-05a,calm,295.067353095497,-0.012999598507992776,0.003115746514708182,-0.0007960513206032476,0.010192669820660836,-7.941366932595609e-05,-0.021095897386349895,0.020642077936893672,0.008120685337994146,0.0028422398707060206,-0.0023586381260923867,0.005057309094538949,100.45380805152638,6.442218333333336,0.8328539864216163,235.5839075160754
wheat,82,2009-06a,2010/11,302.11901084911995,-0.012651281292933464,0.00563682460450172,-0.0005529633569711621,0.009856854335140962,-6.343930925145428e-05,-0.018444595244805753,0.0005316692044826262,-0.005161210137829852,-0.0018064235562367849,-0.001985621794851781,0.0001302589550982434,144.7175257621034,6.442218333333336,0.9728732337147882,290.00470339861187
