crop,ablation,d_free_twin,d_unmet_twin,d_H,d_cuts
wheat,trade_w=1.0,0.0,0.0,0.0,0.0
wheat,trade_w=0.0,0.0,0.0,0.0,0.0
wheat,ask_rival=0.0,0.0,0.0,0.0,0.0
wheat,block_kappa=0.0,0.0,0.0,0.0,0.0
wheat,unmet_kappa=0.0,0.0,0.0,0.0,0.0
wheat,foresight_phi=0.0,0.0,0.0,0.0,0.0
wheat,foresight_phi=1.0,0.0,0.0,0.0,0.0
wheat,ask_alpha=0.0,2.842170943040401e-14,4.996003610813204e-16,0.0,0.0
wheat,rebuild_lambda=0.0,10.666619091147453,0.5007357594779791,0.0,0.0
maize,trade_w=1.0,0.0,0.0,0.0,0.0
maize,trade_w=0.0,0.0,0.0,0.0,0.0
maize,ask_rival=0.0,0.0,0.0,0.0,0.0
maize,block_kappa=0.0,0.0,0.0,0.0,0.0
maize,unmet_kappa=0.0,0.0,0.0,0.0,0.0
maize,foresight_phi=0.0,0.0,0.0,0.0,0.0
maize,foresight_phi=1.0,0.0,0.0,0.0,0.0
maize,ask_alpha=0.0,0.0,1.1102230246251565e-16,0.0,0.0
maize,rebuild_lambda=0.0,42.86420603280834,0.40714108153155804,0.0,0.0
rice,trade_w=1.0,0.0,0.0,0.0,0.0
rice,trade_w=0.0,0.0,0.0,0.0,0.0
rice,ask_rival=0.0,0.0,0.0,0.0,0.0
rice,block_kappa=0.0,0.0,0.0,0.0,0.0
rice,unmet_kappa=0.0,0.0,0.0,0.0,0.0
rice,foresight_phi=0.0,2.842170943040401e-14,1.1102230246251565e-16,0.0,0.0
rice,foresight_phi=1.0,2.842170943040401e-14,1.1102230246251565e-16,0.0,0.0
rice,ask_alpha=0.0,1.4210854715202004e-14,1.1102230246251565e-16,0.0,0.0
rice,rebuild_lambda=0.0,5.052342077230186,0.4556266907163303,0.0,0.0
