crop,floor,floor_frac,corr,h0708,h1011,obs_h0708,obs_h1011,abs_err_sum,mean_price,frac_at_floor
wheat,shipped_0.45,0.45,0.7198612368258547,2.2673764846341906,1.4472676909253321,1.82,1.16,0.7346441755595228,342.0601402372471,0.0
wheat,logsym_0.357,0.35714285714285715,0.7198612368258547,2.2673764846341906,1.4472676909253321,1.82,1.16,0.7346441755595228,342.0601402372471,0.0
wheat,wide_0.20,0.2,0.7198612368258547,2.2673764846341906,1.4472676909253321,1.82,1.16,0.7346441755595228,342.0601402372471,0.0
wheat,none_0.01,0.01,0.7198612368258547,2.2673764846341906,1.4472676909253321,1.82,1.16,0.7346441755595228,342.0601402372471,0.0
wheat,logsym+U1_source,0.35714285714285715,0.7219419058905869,2.2651769358559855,1.4527297541536799,1.82,1.16,0.7379066900096654,340.8909881233724,
maize,shipped_0.45,0.45,0.7115343015231028,1.9716551959162116,1.698938753871961,1.84,1.44,0.3905939497881725,207.842460889847,0.0
maize,logsym_0.357,0.35714285714285715,0.7115343015231028,1.9716551959162116,1.698938753871961,1.84,1.44,0.3905939497881725,207.842460889847,0.0
maize,wide_0.20,0.2,0.7115343015231028,1.9716551959162116,1.698938753871961,1.84,1.44,0.3905939497881725,207.842460889847,0.0
maize,none_0.01,0.01,0.7115343015231028,1.9716551959162116,1.698938753871961,1.84,1.44,0.3905939497881725,207.842460889847,0.0
maize,logsym+U1_source,0.35714285714285715,0.7113220129389266,1.9667509103349456,1.6392828800508215,1.84,1.44,0.3260337903857671,204.6905651121429,
rice,shipped_0.45,0.45,0.6777409747204022,1.7218949303223503,0.8204584882401206,1.84,0.79,0.14856355791777032,640.8274338835955,0.0
rice,logsym_0.357,0.35714285714285715,0.6777409747204022,1.7218949303223503,0.8204584882401206,1.84,0.79,0.14856355791777032,640.8274338835955,0.0
rice,wide_0.20,0.2,0.6777409747204022,1.7218949303223503,0.8204584882401206,1.84,0.79,0.14856355791777032,640.8274338835955,0.0
rice,none_0.01,0.01,0.6777409747204022,1.7218949303223503,0.8204584882401206,1.84,0.79,0.14856355791777032,640.8274338835955,0.0
rice,logsym+U1_source,0.35714285714285715,0.6782901674481708,1.7215715040521486,0.8205900743410807,1.84,0.79,0.14901857028893206,640.728894417758,
