crop,variant,corr,h0708,h1011,obs_h0708,obs_h1011,err0708,err1011,mean_price,runtime_s
wheat,shipped,0.7198612368258547,2.2673764846341906,1.4472676909253321,1.82,1.16,0.44737648463419055,0.2872676909253322,342.0601402372471,0.01350366696715355
wheat,unmet_twosided,0.7389598990856038,2.255181075351418,1.7745293967441826,1.82,1.16,0.4351810753514178,0.6145293967441827,322.37379766424715,0.013635332987178117
wheat,no_drawdown,0.6853110607734435,2.0654406805632246,1.1515182620836342,1.82,1.16,0.24544068056322454,0.00848173791636575,284.92970980806626,0.013370875036343932
wheat,tatonnement_k0.25,0.2694203137718747,8.664329154878201,4.5147056438509345,1.82,1.16,6.844329154878201,3.3547056438509344,144.7070690643194,0.01385745796142146
wheat,tatonnement_k0.5,0.37458926656038155,3.1952752448748183,2.253391202446847,1.82,1.16,1.3752752448748182,1.093391202446847,73.25750799531845,0.013299875019583851
wheat,tatonnement_k1.0,,1.0,1.0,1.82,1.16,0.8200000000000001,0.15999999999999992,60.0,0.013536999991629273
wheat,tatonnement_k2.0,,1.0,1.0,1.82,1.16,0.8200000000000001,0.15999999999999992,60.0,0.013335625000763685
wheat,tatonnement_k5.0,,1.0,1.0,1.82,1.16,0.8200000000000001,0.15999999999999992,60.0,0.014127875037956983
wheat,twosided+tat_k0.5,0.37458926656038155,3.1952752448748183,2.253391202446847,1.82,1.16,1.3752752448748182,1.093391202446847,73.25750799531845,0.013754374987911433
wheat,twosided+tat_k2.0,,1.0,1.0,1.82,1.16,0.8200000000000001,0.15999999999999992,60.0,0.013748000026680529
maize,shipped,0.7115343015231028,1.9716551959162116,1.698938753871961,1.84,1.44,0.13165519591621155,0.25893875387196097,207.842460889847,0.014028417004738003
maize,unmet_twosided,0.6911682528736023,1.9503945343481497,1.7605228606731451,1.84,1.44,0.11039453434814961,0.32052286067314517,206.48444542801766,0.01329895801609382
maize,no_drawdown,0.7294467726511963,1.7343338054635287,1.1869393061363034,1.84,1.44,0.10566619453647141,0.25306069386369656,150.7299729430961,0.013614833995234221
maize,tatonnement_k0.25,0.2092636586228552,0.9728625456202707,0.2680980656838026,1.84,1.44,0.8671374543797293,1.1719019343161974,146.16996282913266,0.013520042004529387
maize,tatonnement_k0.5,0.17794124616098345,1.0,0.3041235525025315,1.84,1.44,0.8400000000000001,1.1358764474974685,135.677509248069,0.013446208031382412
maize,tatonnement_k1.0,0.14299837464874193,1.0,0.39888121288758727,1.84,1.44,0.8400000000000001,1.0411187871124126,130.86785738037543,0.013906665961258113
maize,tatonnement_k2.0,0.1310438487741051,1.0,0.4576417964789177,1.84,1.44,0.8400000000000001,0.9823582035210823,132.03215875427972,0.013931249966844916
maize,tatonnement_k5.0,0.09981961225608714,1.0,0.5735956640898175,1.84,1.44,0.8400000000000001,0.8664043359101824,142.30149827114005,0.013451165985316038
maize,twosided+tat_k0.5,0.17794124616098345,1.0,0.3041235525025315,1.84,1.44,0.8400000000000001,1.1358764474974685,135.677509248069,0.013899374986067414
maize,twosided+tat_k2.0,0.1310438487741051,1.0,0.4576417964789177,1.84,1.44,0.8400000000000001,0.9823582035210823,132.03215875427972,0.013488582975696772
rice,shipped,0.6777409747204022,1.7218949303223503,0.8204584882401206,1.84,0.79,0.11810506967764978,0.03045848824012054,640.8274338835955,0.013481917034368962
rice,unmet_twosided,0.6909402831618795,1.7102576791200632,0.8162085988021438,1.84,0.79,0.12974232087993687,0.026208598802143768,628.5199858533872,0.014001917035784572
rice,no_drawdown,0.7595662780252767,2.1053051233728928,0.9764792629493397,1.84,0.79,0.2653051233728927,0.1864792629493397,588.0803781755071,0.01420012500602752
rice,tatonnement_k0.25,0.14742556263897927,2.9846458459343577,1.1206053812818086,1.84,0.79,1.1446458459343576,0.3306053812818086,426.96697859203897,0.018146832997445017
rice,tatonnement_k0.5,0.13941899449005032,3.5030995314493136,1.280382460565387,1.84,0.79,1.6630995314493136,0.49038246056538703,418.52008627804315,0.02265320799779147
rice,tatonnement_k1.0,0.1354404471780049,4.293171645828621,1.8185613550886832,1.84,0.79,2.453171645828621,1.0285613550886832,363.44363560125794,0.014625041978433728
rice,tatonnement_k2.0,0.08125392421607883,5.589576573378578,3.2702010845616702,1.84,0.79,3.7495765733785777,2.48020108456167,310.59773767564957,0.013628082990180701
rice,tatonnement_k5.0,0.07764659882541453,7.440127346742689,4.730240377384493,1.84,0.79,5.600127346742689,3.9402403773844927,265.6618565795678,0.01339020801242441
rice,twosided+tat_k0.5,0.13917218588498484,3.500335379967755,1.2804536117770977,1.84,0.79,1.6603353799677547,0.4904536117770977,418.4582140669403,0.013630042027216405
rice,twosided+tat_k2.0,0.081233768730859,5.589129667920807,3.270090099238381,1.84,0.79,3.7491296679208075,2.4800900992383808,310.59483051540377,0.013062208017800003
