crop,aggregate,y0,y1,n,eta,eta_se,ci_lo,ci_hi,shipped_inv_eta
wheat,world,1980,2015,36,0.5486119869246233,0.3116309244446039,-0.06218462498680033,1.159408598836047,1.0
wheat,world,1990,2011,22,0.4416698047093855,0.30852592970989123,-0.16304101752200134,1.0463806269407723,1.0
wheat,world,2000,2015,16,0.5011813176333787,0.20339663413301734,0.1025239147326647,0.8998387205340928,1.0
wheat,ex-China,1980,2015,36,-0.0434563714400177,0.17202274014589788,-0.3806209421259775,0.29370819924594216,1.0
wheat,ex-China,1990,2011,22,0.3149100165403891,0.21777781192352086,-0.1119344948297118,0.74175452791049,1.0
wheat,ex-China,2000,2015,16,0.4937010219456165,0.13835051671356555,0.22253400918702804,0.764868034704205,1.0
maize,world,1980,2015,36,0.32161034189904014,0.20217411056690326,-0.07465091481209024,0.7178715986101705,0.85
maize,world,1990,2011,22,0.2188302846752384,0.27952654993581366,-0.3290417531989564,0.7667023225494332,0.85
maize,world,2000,2015,16,0.33344400821123377,0.15793502190081748,0.023891365285631516,0.642996651136836,0.85
maize,ex-China,1980,2015,36,0.10659338713205574,0.11200012956132165,-0.11292686680813468,0.32611364107224616,0.85
maize,ex-China,1990,2011,22,0.35969233045479687,0.19784482622190533,-0.028083528940137548,0.7474681898497313,0.85
maize,ex-China,2000,2015,16,0.6493724065249665,0.3268245564519021,0.008796275879238369,1.2899485371706947,0.85
rice,world,1980,2015,36,0.47738160120512074,0.30462943847830426,-0.1196920982123556,1.074455300622597,0.95
rice,world,1990,2011,22,-0.31777195912669287,0.4274063713342859,-1.1554884469418933,0.5199445286885075,0.95
rice,world,2000,2015,16,0.26016300858301683,0.23136700465242013,-0.19331632053572662,0.7136423377017602,0.95
rice,ex-China+India,1980,2015,36,-0.88384292107495,0.42536649849089875,-1.7175612581171116,-0.05012458403278841,0.95
rice,ex-China+India,1990,2011,22,-0.13094242971377712,0.4430493763556058,-0.9993192073707645,0.7374343479432103,0.95
rice,ex-China+India,2000,2015,16,-1.2836062877084675,0.8610828742788558,-2.971328721295025,0.40411614587808975,0.95
