crop,mode,A1_twin_drift,A1_free_err,A1_pass,A2_amis_lift,A2_floor,A2_pass,A3_spring_autumn,A3_pass,A4_country,A4_offer_ratio,A4_ship_ratio,A4_max_offer,A4_pass
wheat,ask,1.3309387757818467e-16,0.0,True,0.9636426997448007,0.05,True,1.0,True,Russia,0.06345987315702543,0.5709617901712226,0.2,True
wheat,ces,1.3309387757818467e-16,0.0,True,0.9450590085345631,0.05,True,1.0,True,Russia,0.06342221739893844,0.534288888018771,0.2,True
wheat,foc,1.3309387757818467e-16,0.0,True,0.28559098160744556,0.05,True,1.0,True,Russia,0.05657766470355805,0.5541324572880719,0.2,True
wheat,foc+ces,1.3309387757818467e-16,0.0,True,0.30053946007746046,0.05,True,1.0,True,Russia,0.056422559164274765,0.543946225916929,0.2,True
maize,ask,0.0,0.0,True,0.31235213603771617,0.0,True,1.0,True,Argentina,0.2999811352223078,0.9985500298772161,0.7,True
maize,ces,0.0,0.0,True,0.3008216478474086,0.0,True,1.0,True,Argentina,0.29997770718771655,0.9907036953157266,0.7,True
maize,foc,0.0,0.0,True,0.07086967381061848,0.0,True,1.0,True,Argentina,0.3000466202286027,0.9962803046360609,0.7,True
maize,foc+ces,0.0,0.0,True,0.07527422442729303,0.0,True,1.0,True,Argentina,0.3000466202286027,0.9963350795017123,0.7,True
rice,ask,0.0,0.0,True,0.8318370292869746,0.05,True,1.0,True,Vietnam,0.5594150014908076,0.7870391599473431,0.7,True
rice,ces,0.0,0.0,True,0.8306181709639335,0.05,True,1.0,True,Vietnam,0.5592237069531593,0.7633877552346524,0.7,True
rice,foc,0.0,0.0,True,0.1446578430619634,0.05,True,1.0,True,Vietnam,0.5207943421586086,0.9363422550507939,0.7,True
rice,foc+ces,0.0,0.0,True,0.13830074709332085,0.05,True,1.0,True,Vietnam,0.5219086300992944,0.9326928094155511,0.7,True
