country,mean_offer_window,mean_export_window,mean_cut_window,mean_stock
Thailand,4.759957190179511,0.5037532265032306,0.0,3.4562519312313325
Vietnam,4.163435043526295,0.15646678566826844,0.5,7.069513519361438
India,0.788148086444224,0.14899406019090122,0.9500000000000001,23.683375216541613
USA,2.443546990441303,0.10054387679326364,0.0,1.7332839963437587
RestOfWorld,5.236418120974625,0.08143315119015775,0.0,18.312433932213327
China,8.304347381646608,0.011777254968509272,0.7000000000000001,31.939821054321214
Egypt,0.07894398097680938,0.008856042721413528,0.9500000000000001,1.2226663931398312
Indonesia,0.6650725447462145,0.0010062038900797408,0.25,6.801214039656597
EU,0.2038310091981748,0.0004547994259628228,0.0,0.4501961087977113
Russia,0.10467818293329077,7.137200839980188e-05,0.0,0.14966316200695065
Kazakhstan,0.04256985211720832,3.428922113215514e-05,0.0,0.05755461911877188
Ukraine,0.004206714400770217,1.79857672733147e-06,0.0,0.01820740177822723
Canada,0.0,0.0,0.0,0.005144292986778019
Australia,0.0,0.0,0.0,0.02412368252513469
Argentina,0.0,0.0,0.5,0.10039190101770948
Brazil,0.0,0.0,0.0,0.9866508019135201
Mexico,0.0,0.0,0.0,0.028162873615442223
Nigeria,0.0,0.0,0.0,0.5282227946691729
