year,month,model_price,world_stock,leg,crop,obs_price
2021,1,288.25333650592216,218.2901378507176,baseline,wheat,264.5185913705584
2021,2,288.25333650592216,161.13430028692994,baseline,wheat,264.6100253807106
2021,3,288.25333650592216,123.31230679273433,baseline,wheat,249.70628172588837
2021,4,288.25333650592216,117.08588240528854,baseline,wheat,256.9295685279188
2021,5,288.25333650592216,138.1369884817713,baseline,wheat,271.8333121827411
2021,6,288.25333650592216,168.20720816006877,baseline,wheat,261.1355329949239
2021,7,288.25333650592216,292.2682265870691,baseline,wheat,269.0902918781726
2021,8,288.25333650592216,411.1449449595186,baseline,wheat,296.70336294416245
2021,9,288.25333650592216,439.2359980183163,baseline,wheat,308.6812182741117
2021,10,288.25333650592216,390.1197900156018,baseline,wheat,324.31643401015225
2021,11,288.25333650592216,333.2279231765731,baseline,wheat,346.9920685279188
2021,12,288.25333650592216,283.3627408330757,baseline,wheat,344.5233502538071
2022,1,288.25333650592216,234.33063493349368,baseline,wheat,318.59213953488376
2022,2,288.25333650592216,178.1475195244122,baseline,wheat,332.4698837209302
2022,3,288.25333650592216,138.45994001954415,baseline,wheat,414.03355813953493
2022,4,288.25333650592216,121.92616834101386,baseline,wheat,421.6961162790698
2022,5,288.25333650592216,141.0134380283207,baseline,wheat,444.6837906976744
2022,6,288.25333650592216,171.06635700890757,baseline,wheat,391.30130232558145
2022,7,288.25333650592216,294.9346720953158,baseline,wheat,325.65872093023256
2022,8,288.25333650592216,414.20477156085803,baseline,wheat,325.99927906976745
2022,9,288.25333650592216,442.85009685260127,baseline,wheat,356.8197906976745
2022,10,288.25333650592216,394.1029687564844,baseline,wheat,372.9111627906977
2022,11,288.25333650592216,337.33369574656643,baseline,wheat,359.8848139534884
2022,12,288.25333650592216,287.5214941384731,baseline,wheat,328.894023255814
2023,1,288.25333650592216,236.90951009465613,baseline,wheat,333.46462984723854
2023,2,288.25333650592216,180.538992763284,baseline,wheat,346.0878965922444
2023,3,288.25333650592216,140.8535422268012,baseline,wheat,324.2601645123384
2023,4,288.25333650592216,124.37499031094396,baseline,wheat,331.53607520564043
2023,5,288.25333650592216,143.5174797609239,baseline,wheat,322.3316098707403
2023,6,288.25333650592216,173.570395217074,baseline,wheat,302.87074030552293
2023,7,288.25333650592216,297.4385513189102,baseline,wheat,302.87074030552293
2023,8,288.25333650592216,416.7216207350416,baseline,wheat,276.8352526439483
2023,9,288.25333650592216,444.82567152097783,baseline,wheat,275.87097532314925
2023,10,288.25333650592216,393.5320865947539,baseline,wheat,261.31915393654526
2023,11,288.25333650592216,333.90198678249635,baseline,wheat,248.6082256169213
2023,12,288.25333650592216,280.71296748532075,baseline,wheat,255.18284371327852
2021,1,277.588759534558,220.50622622222517,shocks,wheat,264.5185913705584
2021,2,258.8521594449575,163.26940353947793,shocks,wheat,264.6100253807106
2021,3,248.3396934500792,124.69190584585563,shocks,wheat,249.70628172588837
2021,4,248.92076918959253,118.42042321318772,shocks,wheat,256.9295685279188
2021,5,244.40478304134604,139.66128790633283,shocks,wheat,271.8333121827411
2021,6,243.8238198323034,168.3299633745416,shocks,wheat,261.1355329949239
2021,7,242.2533159819808,293.7112031220897,shocks,wheat,269.0902918781726
2021,8,235.45316748257923,405.0751473109433,shocks,wheat,296.70336294416245
2021,9,227.46539190260637,424.6606998116608,shocks,wheat,308.6812182741117
2021,10,244.67907136934673,374.2883421817918,shocks,wheat,324.31643401015225
2021,11,270.3935794006699,320.173013519223,shocks,wheat,346.9920685279188
2021,12,284.45106382449586,274.6049568438643,shocks,wheat,344.5233502538071
2022,1,273.01207355893166,226.48959524672375,shocks,wheat,318.59213953488376
2022,2,276.30190232816693,169.5657748020464,shocks,wheat,332.4698837209302
2022,3,282.20837342529944,128.7444199230302,shocks,wheat,414.03355813953493
2022,4,273.9529918425555,114.94055862793745,shocks,wheat,421.6961162790698
2022,5,263.25116063721634,132.6954545793084,shocks,wheat,444.6837906976744
2022,6,260.95675382497495,161.25755465390557,shocks,wheat,391.30130232558145
2022,7,257.705959454497,282.15061524978734,shocks,wheat,325.65872093023256
2022,8,249.2759246034168,402.09461326637904,shocks,wheat,325.99927906976745
2022,9,238.26569006037334,431.8486698717303,shocks,wheat,356.8197906976745
2022,10,242.07393036200588,383.33352576869095,shocks,wheat,372.9111627906977
2022,11,259.5777495437292,326.24303440058117,shocks,wheat,359.8848139534884
2022,12,286.1060860666686,276.90864446131036,shocks,wheat,328.894023255814
2023,1,278.07373030373856,229.14803175659472,shocks,wheat,333.46462984723854
2023,2,270.4465046283648,172.15434231956357,shocks,wheat,346.0878965922444
2023,3,268.1965132702693,132.00772895543375,shocks,wheat,324.2601645123384
2023,4,268.986291244205,119.28166043860048,shocks,wheat,331.53607520564043
2023,5,258.61706248153905,138.15409085003802,shocks,wheat,322.3316098707403
2023,6,253.8166186832712,167.86402321362647,shocks,wheat,302.87074030552293
2023,7,250.2011016466488,291.69923337054445,shocks,wheat,302.87074030552293
2023,8,242.63892823793287,411.5683506303683,shocks,wheat,276.8352526439483
2023,9,234.3424313966571,439.9886391413222,shocks,wheat,275.87097532314925
2023,10,230.07719465379537,385.6599344753207,shocks,wheat,261.31915393654526
2023,11,224.0242892274826,321.3449939092527,shocks,wheat,248.6082256169213
2023,12,218.2519294868975,263.3534051102085,shocks,wheat,255.18284371327852
2021,1,337.16633051895263,218.56691294179464,tau,wheat,264.5185913705584
2021,2,362.8335242443614,162.91936602406253,tau,wheat,264.6100253807106
2021,3,377.02027303714027,126.51874381832265,tau,wheat,249.70628172588837
2021,4,396.73276277069203,120.72142569786948,tau,wheat,256.9295685279188
2021,5,411.44413116630403,143.2643503941391,tau,wheat,271.8333121827411
