country,grain,prod_illustrative,cons_illustrative,prod_usda,cons_usda,ending_stocks_seed
USA,wheat,45.0,30.0,48.96933333333334,30.344333333333335,16.17956666666667
USA,rice,7.0,4.0,6.381333333333333,4.7203333333333335,0.8302
USA,maize,350.0,300.0,361.31300000000005,310.11,27.3574
Russia,wheat,90.0,45.0,78.04,41.083333333333336,7.1624
Russia,rice,1.0,1.5,0.7186666666666667,0.7816666666666667,0.11059999999999999
Russia,maize,15.0,13.0,14.457333333333333,10.299999999999999,0.5849666666666666
EU,wheat,130.0,120.0,134.654,106.75,8.735766666666667
EU,rice,2.0,4.0,1.8153333333333332,3.4313333333333333,0.5842666666666666
EU,maize,65.0,85.0,68.618,79.46666666666667,6.215299999999999
Ukraine,wheat,25.0,9.0,29.199333333333332,8.833333333333334,2.1639333333333335
Ukraine,rice,0.0,0.3,0.03566666666666667,0.12533333333333332,0.0
Ukraine,maize,30.0,6.0,36.10333333333333,7.233333333333333,2.3580666666666663
Kazakhstan,wheat,15.0,6.0,12.507333333333333,6.183333333333334,0.8439666666666666
Kazakhstan,rice,0.2,0.3,0.3516666666666666,0.39633333333333337,0.0
Kazakhstan,maize,1.5,1.2,0.9946666666666667,0.9116666666666666,0.09963333333333334
Canada,wheat,34.0,10.0,30.176333333333332,9.491333333333333,3.6449000000000003
Canada,rice,0.0,0.4,0.0,0.437,0.0
Canada,maize,14.0,15.0,13.859333333333334,15.306000000000003,1.7441666666666666
Australia,wheat,30.0,8.0,27.546666666666667,8.174999999999999,2.1389666666666667
Australia,rice,0.5,0.5,0.2796666666666667,0.34,0.07956666666666665
Australia,maize,0.5,1.0,0.33466666666666667,0.26433333333333336,0.020066666666666667
Argentina,wheat,20.0,6.0,19.846666666666668,6.3500000000000005,1.5644999999999998
Argentina,rice,1.5,1.0,0.8446666666666668,0.49333333333333335,0.15026666666666666
Argentina,maize,55.0,12.0,53.833333333333336,16.466666666666665,3.1982999999999997
Brazil,wheat,8.0,13.0,6.3563333333333345,11.816666666666668,1.1431
Brazil,rice,11.0,11.0,7.647666666666666,7.300000000000001,0.5926666666666667
Brazil,maize,120.0,75.0,101.66666666666667,70.66666666666667,4.5262
India,wheat,110.0,105.0,107.01533333333333,102.50066666666667,23.999999999999996
India,rice,130.0,110.0,124.23633333333333,104.48200000000001,34.96666666666667
India,maize,32.0,30.0,31.381,28.349999999999998,2.089
Thailand,wheat,0.0,2.0,0.0,2.8200000000000003,0.4606
Thailand,rice,33.0,20.0,18.798666666666666,12.266666666666667,3.0114
Thailand,maize,5.0,6.0,5.1000000000000005,6.866666666666667,0.40856666666666663
Vietnam,wheat,0.0,2.5,0.0,3.75,0.5373666666666665
Vietnam,rice,43.0,30.0,27.050333333333338,21.75,1.9072666666666662
Vietnam,maize,4.0,8.0,4.578333333333333,15.25,1.148
China,wheat,138.0,145.0,134.932,143.0,42.5894
China,rice,210.0,212.0,148.00666666666666,150.62766666666667,34.599999999999994
China,maize,275.0,295.0,264.667,284.6666666666667,61.536699999999996
Egypt,wheat,9.0,20.0,9.167666666666667,20.433333333333334,1.5348
Egypt,rice,4.0,4.0,3.733333333333333,4.216666666666666,0.3005
Egypt,maize,7.0,16.0,6.746666666666667,16.766666666666666,0.4644
Indonesia,wheat,0.0,11.0,0.0,10.299999999999999,0.0
Indonesia,rice,54.0,56.0,34.53333333333333,35.56666666666667,0.0
Indonesia,maize,23.0,24.0,12.433333333333332,13.233333333333334,0.0
Mexico,wheat,3.0,8.0,3.171666666666667,7.466666666666666,0.0
Mexico,rice,0.2,1.0,0.18600000000000003,0.9566666666666667,0.0
Mexico,maize,27.0,44.0,26.922,44.1,0.0
Nigeria,wheat,0.1,6.0,0.07733333333333334,5.441666666666666,0.0
Nigeria,rice,8.0,8.5,5.239,7.5,0.0
Nigeria,maize,12.0,13.0,12.581333333333333,12.4,0.0
RestOfWorld,wheat,,,129.524,243.36566666666658,0.0
RestOfWorld,rice,,,127.5726666666668,147.09133333333335,0.0
RestOfWorld,maize,,,145.39766666666662,224.90999999999985,0.0
