year,country,grain,production_mmt,anomaly,xi
2005,Russia,wheat,47.615,0.01333110680009606,1.013331106800096
2006,Russia,wheat,44.927,-0.090793458494899,0.9092065415051009
2007,Russia,wheat,49.368,-0.039617828408849996,0.96038217159115
2008,Russia,wheat,63.765,0.21881254658800103,1.218812546588001
2009,Russia,wheat,61.77,0.18182856061736413,1.1818285606173642
2010,Russia,wheat,41.508,-0.20149973336361723,0.7985002666363827
2011,Russia,wheat,56.24,0.0888802200242941,1.0888802200242942
2012,Russia,wheat,37.72,-0.2745413106104159,0.725458689389584
2005,Ukraine,wheat,18.699,0.18838614231370335,1.1883861423137034
2006,Ukraine,wheat,13.947000000000001,-0.17226276174003646,0.8277372382599635
2007,Ukraine,wheat,13.938,-0.23041359239134077,0.7695864076086593
2008,Ukraine,wheat,25.885,0.3778797475853274,1.3778797475853275
2009,Ukraine,wheat,20.866,0.08433554757968273,1.0843355475796828
2010,Ukraine,wheat,16.844,-0.15291909505901977,0.8470809049409802
2011,Ukraine,wheat,22.324,0.08847425588612254,1.0884742558861225
2012,Ukraine,wheat,15.761000000000001,-0.2566165801394995,0.7433834198605005
2005,Kazakhstan,wheat,11.197000000000001,-0.10747163495191629,0.8925283650480837
2006,Kazakhstan,wheat,13.46,0.03518692849158322,1.0351869284915831
2007,Kazakhstan,wheat,16.466,0.21538049186337382,1.2153804918633737
2008,Kazakhstan,wheat,12.538,-0.12394599289008737,0.8760540071099127
2009,Kazakhstan,wheat,17.051000000000002,0.16130693256488884,1.1613069325648888
2010,Kazakhstan,wheat,9.638,-0.340162723021726,0.659837276978274
2011,Kazakhstan,wheat,22.732,0.5858235451124627,1.5858235451124627
2012,Kazakhstan,wheat,9.841000000000001,-0.30733332103125954,0.6926666789687405
2005,Australia,wheat,25.173000000000002,0.3217899088836755,1.3217899088836755
2006,Australia,wheat,10.822000000000001,-0.4389013079893675,0.5610986920106324
2007,Australia,wheat,13.569,-0.31019452455952007,0.6898054754404799
2008,Australia,wheat,21.42,0.0413017352210259,1.0413017352210259
2009,Australia,wheat,21.834,-0.006735894214296471,0.9932641057857036
2010,Australia,wheat,27.41,0.1583743268710534,1.1583743268710534
2011,Australia,wheat,29.905,0.2058582899251239,1.205858289925124
2012,Australia,wheat,22.856,-0.09466283072716103,0.9053371692728389
2005,Argentina,wheat,13.8,-0.0972045102568074,0.9027954897431926
2006,Argentina,wheat,16.3,0.08030027311398265,1.0803002731139826
2007,Argentina,wheat,18.6,0.24623401931193648,1.2462340193119366
2008,Argentina,wheat,11.0,-0.255319031663548,0.7446809683364519
2009,Argentina,wheat,12.0,-0.1595626636005661,0.840437336399434
2010,Argentina,wheat,17.2,0.2727505489066965,1.2727505489066964
2011,Argentina,wheat,15.5,0.19142712028796674,1.1914271202879667
2012,Argentina,wheat,9.3,-0.28079975174302924,0.7192002482569708
2005,India,wheat,68.637,-0.038605395688191206,0.9613946043118088
2006,India,wheat,69.355,-0.04948897381737649,0.9505110261826235
2007,India,wheat,75.807,0.010869143834578408,1.0108691438345785
2008,India,wheat,78.57000000000001,0.01336347209146815,1.0133634720914682
2009,India,wheat,80.679,-0.0013401526855104397,0.9986598473144895
2010,India,wheat,80.804,-0.040310090596624805,0.9596899094033752
2011,India,wheat,86.874,-0.0024746998831706984,0.9975253001168293
2012,India,wheat,94.882,0.06514811837427051,1.0651481183742706
2005,China,wheat,97.44500000000001,-0.020845492856774204,0.9791545071432258
2006,China,wheat,108.46600000000001,0.04658304069907815,1.0465830406990781
2007,China,wheat,109.492,0.01484751187385152,1.0148475118738516
2008,China,wheat,112.901,0.01170191108391694,1.011701911083917
2009,China,wheat,115.796,0.010501052447181854,1.0105010524471818
2010,China,wheat,116.093,-0.008445761797996727,0.9915542382020033
2011,China,wheat,118.57000000000001,-0.008339252087510704,0.9916607479124893
2012,China,wheat,122.47500000000001,0.0019991812626150743,1.001999181262615
2005,USA,wheat,57.243,0.0107487229619222,1.0107487229619223
2006,USA,wheat,49.217,-0.15061725991184155,0.8493827400881584
2007,USA,wheat,55.821,-0.04176839992167192,0.9582316000783281
2008,USA,wheat,68.363,0.17134033974724125,1.1713403397472413
2009,USA,wheat,60.117000000000004,0.01980958280632648,1.0198095828063265
2010,USA,wheat,58.868,-0.008998262381349318,0.9910017376186507
2011,USA,wheat,54.244,-0.07923845273316685,0.9207615472668331
2012,USA,wheat,61.298,0.05690988141006272,1.0569098814100628
2005,EU,wheat,132.856,0.01403310049841669,1.0140331004984167
2006,EU,wheat,125.67,-0.05703487485954124,0.9429651251404587
2007,EU,wheat,120.833,-0.10485105983391212,0.8951489401660879
2008,EU,wheat,151.922,0.12065444410550405,1.120654444105504
2009,EU,wheat,139.72,0.02224750453187269,1.0222475045318726
2010,EU,wheat,136.667,-0.01494062434559515,0.9850593756544048
2011,EU,wheat,138.18200000000002,-0.020955937753740404,0.9790440622462596
2012,EU,wheat,133.949,-0.06384729895877496,0.936152701041225
2005,Vietnam,wheat,0.0,,
2006,Vietnam,wheat,0.0,,
2007,Vietnam,wheat,0.0,,
2008,Vietnam,wheat,0.0,,
2009,Vietnam,wheat,0.0,,
2010,Vietnam,wheat,0.0,,
2011,Vietnam,wheat,0.0,,
2012,Vietnam,wheat,0.0,,
2005,Thailand,wheat,0.0,,
2006,Thailand,wheat,0.0,,
2007,Thailand,wheat,0.0,,
2008,Thailand,wheat,0.0,,
2009,Thailand,wheat,0.0,,
2010,Thailand,wheat,0.0,,
2011,Thailand,wheat,0.0,,
2012,Thailand,wheat,0.0,,
2005,Russia,rice,0.372,-0.026205253187358692,0.9737947468126413
2006,Russia,rice,0.445,0.05402247430318986,1.0540224743031898
2007,Russia,rice,0.46,-0.030158434039788812,0.9698415659602112
2008,Russia,rice,0.48,-0.09216211359847183,0.9078378864015282
2009,Russia,rice,0.59,0.025665530491426652,1.0256655304914266
2010,Russia,rice,0.6900000000000001,0.12964712733047537,1.1296471273304753
2011,Russia,rice,0.686,0.0712192608142206,1.0712192608142206
2012,Russia,rice,0.684,0.03056842938827793,1.030568429388278
2005,Ukraine,rice,0.06,0.0045708358283408955,1.004570835828341
2006,Ukraine,rice,0.065,0.005030062558047584,1.0050300625580475
2007,Ukraine,rice,0.07,-0.01625422870910916,0.9837457712908908
2008,Ukraine,rice,0.065,-0.17458472047135534,0.8254152795286447
2009,Ukraine,rice,0.093,0.08400248898123959,1.0840024889812396
2010,Ukraine,rice,0.096,0.06386440112156655,1.0638644011215665
2011,Ukraine,rice,0.11,0.2298850620407969,1.2298850620407968
