phi,maize_corr,maize_h07,maize_h10,maize_spread,wheat_corr,rice_corr,crop,n_fire,ask_rival,corr_pub,corr_fix
0.05,0.7879977616234186,2.2010218095077305,1.6175966492526312,0.06023094157816955,0.7198612368258547,0.6777409747204022,,,,,
0.075,0.780682696520897,2.193722067982738,1.6152824963082046,0.051762074146416204,0.7198612368258547,0.6777409747204022,,,,,
0.1,0.7812815602497439,2.2165966895143696,1.6149916286354156,0.051163210417569216,0.7198612368258547,0.6777409747204022,,,,,
0.15,0.7798920238506425,2.230723442497828,1.6140836180720426,0.05255274681667066,0.7198612368258547,0.6777409747204022,,,,,
0.2,0.7742532316950554,2.2287902992478945,1.6167132826013146,0.058191538972257706,0.7198612368258547,0.6777409747204022,,,,,
0.4,0.7722680276208103,2.2413985929601443,1.6153159090882816,0.06017674304650289,0.7198612368258547,0.6777409747204022,,,,,
,,,,,,,wheat,0.0,,,
,,,,,,,maize,1.0,,,
,,,,,,,rice,0.0,,,
0.1,,,,,,,wheat,,0.0,0.6851645834191433,0.6851645834191433
0.1,,,,,,,wheat,,0.8,0.7198612368258547,0.7198612368258547
0.1,,,,,,,maize,,0.0,0.4142311902200062,0.5222445406040663
0.1,,,,,,,maize,,0.8,0.7115343015231028,0.7812815602497439
0.1,,,,,,,rice,,0.0,0.34185122446599775,0.34185122446599775
0.1,,,,,,,rice,,0.8,0.6777409747204022,0.6777409747204022
