crop,kind,max_dprice,n_changed,jump_pub,jump_fix,corr_pub,corr_fix,h07_pub,h07_fix,h10_pub,h10_fix,obs07,obs10,version,spread
wheat,surgical,0.0,0.0,,,,,,,,,,,,
maize,surgical,266.57320920913224,122.0,,,,,,,,,,,,
rice,surgical,0.0,0.0,,,,,,,,,,,,
maize,transient,,,298.44696049989943,31.87375129076723,,,,,,,,,,
wheat,score,,,,,0.7198612368258547,0.7198612368258547,2.2673764846341906,2.2673764846341906,1.4472676909253321,1.4472676909253321,1.8165638656251262,1.1590269664976314,,
maize,score,,,,,0.7115343015231028,0.7812815602497439,1.9716551959162116,2.2165966895143696,1.698938753871961,1.6149916286354156,1.836259971402727,1.4418926403601735,,
rice,score,,,,,0.6777409747204022,0.6777409747204022,1.7218949303223503,1.7218949303223503,0.8204584882401206,0.8204584882401206,1.83714665456457,0.7931662874839874,,
wheat,fragility,,,,,,,,,,,,,published,0.005591320224539009
wheat,fragility,,,,,,,,,,,,,surgical,0.005591320224539009
maize,fragility,,,,,,,,,,,,,published,0.5568671491525885
maize,fragility,,,,,,,,,,,,,surgical,0.051163210417569216
rice,fragility,,,,,,,,,,,,,published,0.00045215869230774697
rice,fragility,,,,,,,,,,,,,surgical,0.00045215869230774697
