crop,a_star,eps_c,sheaf_elast,t_peak,p_peak_over_p0,sheaf_demand_ratio,agrimate_demand_ratio,extra_destruction_pp,implied_elast_at_peak,world_flex_mmt_step,mmt_gap_at_peak
wheat,0.05,0.1,-0.15,59,2.5122804340140577,0.8709430995259865,0.8566890720438163,1.4254027482170195,-0.19685094371782025,26.842576388888894,0.38261482153947507
wheat,0.1,0.1,-0.15,59,2.5122804340140577,0.8709430995259865,0.8077062296418377,6.323686988414878,-0.28262661014444085,26.842576388888894,1.6974405104594912
wheat,0.2,0.1,-0.15,59,2.5122804340140577,0.8709430995259865,0.724820250873387,14.61228486525995,-0.4277713122003467,26.842576388888894,3.9223137271194526
wheat,0.4,0.1,-0.15,59,2.5122804340140577,0.8709430995259865,0.6013918336451662,26.955126588082024,-0.6439113772633318,26.842576388888894,7.235450445127618
maize,0.05,0.1,-0.25,22,2.9085438453247816,0.7657395808800079,0.8316239502948488,-6.588436941484089,-0.20884666250146441,30.79774444444444,-2.029089972121641
maize,0.1,0.1,-0.25,22,2.9085438453247816,0.7657395808800079,0.7738380151116482,-0.809843423164025,-0.3025667616518197,30.79774444444444,-0.2494135078661972
maize,0.2,0.1,-0.25,22,2.9085438453247816,0.7657395808800079,0.6794183557167814,8.63212251632265,-0.455701253845731,30.79774444444444,2.6584990327083964
maize,0.4,0.1,-0.25,22,2.9085438453247816,0.7657395808800079,0.5461432749097564,21.959630597025146,-0.6718533979255452,30.79774444444444,6.763070912215834
rice,0.05,0.1,-0.2,65,2.6618311389556606,0.8221743047656961,0.8468813723361683,-2.470706757047225,-0.20144148435486622,18.160597222222222,-0.44869510268957513
rice,0.1,0.1,-0.2,65,2.6618311389556606,0.8221743047656961,0.7944378062404551,2.773649852524096,-0.29031933615530203,18.160597222222222,0.5037113780716618
rice,0.2,0.1,-0.2,65,2.6618311389556606,0.8221743047656961,0.7068888877748581,11.528541699083794,-0.4386913935869532,18.160597222222222,2.093652023566542
rice,0.4,0.1,-0.2,65,2.6618311389556606,0.8221743047656961,0.5792249735373474,24.294933122834873,-0.6550476655680928,18.160597222222222,4.412104949846296
