crop,alloc,mp_alpha,mp_form,ask_rival,corr,h0708,h1011,obs_h0708,obs_h1011,markup_p95,markup_max,markup_min,twin_consistent
wheat,shipped,0.0,-,0.0,0.6851645834191433,1.526464631364933,1.520828077195657,1.82,1.16,1.0,1.0,1.0,0.0
wheat,shipped,0.5,exp,0.0,0.6019514327754067,1.4836120073447585,1.4875869998117865,1.82,1.16,1.097967029568669,1.6161984859103617,0.6927960708904192,0.0
wheat,shipped,1.0,exp,0.0,0.47997477006962136,1.4504084409020317,1.438566783237977,1.82,1.16,1.2064057013271858,2.618707860065395,0.4772841656794137,0.0
wheat,shipped,2.0,exp,0.0,0.2786330767278869,1.5115047118078089,1.340650163628997,1.82,1.16,1.4490546959951185,4.0,0.25,0.0
wheat,shipped,3.0,exp,0.0,0.24648215196978673,1.5995512562747527,1.2104085017202715,1.82,1.16,1.821369930910438,4.0,0.25,0.0
wheat,shipped,4.0,exp,0.0,0.25603604397583024,1.6979879436119638,1.057416428040506,1.82,1.16,2.2430675139452156,4.0,0.25,0.0
wheat,shipped,6.0,exp,0.0,0.27919413482120153,1.8366828464613445,0.6836779563900913,1.82,1.16,3.429813733404927,4.0,0.25,0.0
wheat,shipped,8.0,exp,0.0,0.32713638632656344,1.9376209600150565,0.6478693660746044,1.82,1.16,4.0,4.0,0.25,0.0
wheat,shipped,12.0,exp,0.0,0.3367793064902731,2.391338667808372,0.6391074591943593,1.82,1.16,4.0,4.0,0.25,0.0
wheat,source,0.0,-,0.0,0.6769393069220997,1.5141452489254124,1.5311053565611272,1.82,1.16,1.0,1.0,1.0,0.7044238875013775
wheat,source,0.5,exp,0.0,0.6002268651034521,1.478071521413536,1.5065743569411072,1.82,1.16,1.1008615638604735,1.6157157006537515,0.691293743963847,0.7044238875013775
wheat,source,1.0,exp,0.0,0.47642803015412166,1.4319332081445553,1.4657200520383036,1.82,1.16,1.209125818718158,2.618910594278706,0.47403773123823284,0.7044238875013775
wheat,source,2.0,exp,0.0,0.31188999775695936,1.4364902531894617,1.3809629836527801,1.82,1.16,1.490143438584927,4.0,0.25,0.7044238875013775
wheat,source,3.0,exp,0.0,0.33872463613029374,1.4299301425882411,1.2441046961436726,1.82,1.16,1.9517499450278517,4.0,0.25,0.7044238875013775
wheat,source,4.0,exp,0.0,0.3686033091598264,1.3981606865776501,1.088924465980911,1.82,1.16,2.55293416812793,4.0,0.25,0.7044238875013775
wheat,source,6.0,exp,0.0,0.38055176516605244,1.4491397592537723,0.9654995698188651,1.82,1.16,4.0,4.0,0.25,0.7044238875013775
wheat,source,8.0,exp,0.0,0.3747305138274226,1.459392935433318,0.6968687368930887,1.82,1.16,4.0,4.0,0.25,0.7044238875013775
wheat,source,12.0,exp,0.0,0.3341513194998464,1.3316369341453032,0.6154080130782277,1.82,1.16,4.0,4.0,0.25,0.7044238875013775
maize,shipped,0.0,-,0.0,0.4142311902200062,1.425011609818163,1.1056374373192008,1.84,1.44,1.0,1.0,1.0,0.0
maize,shipped,0.5,exp,0.0,0.41631295112570027,1.4402410074159617,1.2350014990075133,1.84,1.44,1.131791728026301,1.4503545961176765,0.677321329791564,0.0
maize,shipped,1.0,exp,0.0,0.40311254860553064,1.4657367037655238,1.3795755083830206,1.84,1.44,1.2843979340173717,2.143953664670929,0.44787238297431137,0.0
maize,shipped,2.0,exp,0.0,0.3535674646927789,1.4993213888773922,1.6540678032061646,1.84,1.44,1.6496952873991317,4.0,0.25,0.0
maize,shipped,3.0,exp,0.0,0.2908097823576208,1.5310692905884113,1.5952071220729147,1.84,1.44,2.091458685739132,4.0,0.25,0.0
maize,shipped,4.0,exp,0.0,0.2836918811468271,1.493036619654259,1.5219445668384513,1.84,1.44,2.7485092184994495,4.0,0.25,0.0
maize,shipped,6.0,exp,0.0,0.2865724526317833,1.4264645054412237,1.4378402993326251,1.84,1.44,4.0,4.0,0.25,0.0
maize,shipped,8.0,exp,0.0,0.2951396121194014,1.4117510549738423,1.4346576182271773,1.84,1.44,4.0,4.0,0.25,0.0
maize,shipped,12.0,exp,0.0,0.2711208217608854,1.3570146468261517,1.3518580125368687,1.84,1.44,4.0,4.0,0.25,0.0
maize,source,0.0,-,0.0,0.4071924741917055,1.4211247708820152,1.131939632060766,1.84,1.44,1.0,1.0,1.0,0.6466329611161541
maize,source,0.5,exp,0.0,0.39729508929549107,1.4479878566458668,1.2390622947080587,1.84,1.44,1.1345531928855161,1.4336562612102142,0.6791170728261986,0.6466329611161541
maize,source,1.0,exp,0.0,0.37166020608718736,1.4644252998328353,1.3598576803754456,1.84,1.44,1.2942328921640716,2.0108534259737936,0.46371231196268536,0.6466329611161541
maize,source,2.0,exp,0.0,0.32269132774101505,1.4679536726339881,1.6665600894267147,1.84,1.44,1.6683723119146114,3.7745067861681854,0.25,0.6466329611161541
maize,source,3.0,exp,0.0,0.27636080254240153,1.4443402136909766,1.7661485760639126,1.84,1.44,2.146803509230584,4.0,0.25,0.6466329611161541
maize,source,4.0,exp,0.0,0.3058049503536204,1.3656887623696443,1.7817160117612674,1.84,1.44,2.7859757142686523,4.0,0.25,0.6466329611161541
maize,source,6.0,exp,0.0,0.3248624179640544,1.236131120934916,1.7647710685295401,1.84,1.44,4.0,4.0,0.25,0.6466329611161541
maize,source,8.0,exp,0.0,0.31668912079120526,1.1876893896415481,1.7902290348134235,1.84,1.44,4.0,4.0,0.25,0.6466329611161541
maize,source,12.0,exp,0.0,0.30462845746633194,1.1517711266330284,1.7920359201198632,1.84,1.44,4.0,4.0,0.25,0.6466329611161541
rice,shipped,0.0,-,0.0,0.34185122446599775,1.0139820556042696,0.9109607989970506,1.84,0.79,1.0,1.0,1.0,0.0
rice,shipped,0.5,exp,0.0,0.355402057504932,1.0155271679584896,0.9080371241641503,1.84,0.79,1.054622969034894,1.6487212707001282,0.8166296418387098,0.0
rice,shipped,1.0,exp,0.0,0.3591178562953111,1.018061383050192,0.9067979344621464,1.84,0.79,1.1129060171731675,2.718281828459045,0.6655144342344254,0.0
rice,shipped,2.0,exp,0.0,0.35350962316666673,1.027404218647058,0.9109974445403359,1.84,0.79,1.251895102005769,4.0,0.43318506694346093,0.0
rice,shipped,3.0,exp,0.0,0.36547702912557717,1.0458123289051082,0.9242118692128899,1.84,0.79,1.4037126068077699,4.0,0.2762117269929737,0.0
rice,shipped,4.0,exp,0.0,0.3742418958853982,1.0732459912595689,0.9339727490045627,1.84,0.79,1.5961051765139975,4.0,0.25,0.0
rice,shipped,6.0,exp,0.0,0.3697768897357327,1.1026585857970512,1.0149262047702725,1.84,0.79,2.2591041036842103,4.0,0.25,0.0
rice,shipped,8.0,exp,0.0,0.340289490758632,1.1561466527246986,1.1401964935280071,1.84,0.79,3.5478053326313215,4.0,0.25,0.0
rice,shipped,12.0,exp,0.0,0.3335060564716602,1.2057927671004924,1.4840921431702379,1.84,0.79,4.0,4.0,0.25,0.0
rice,source,0.0,-,0.0,0.34210870825391826,1.0141648637496266,0.9119356341634662,1.84,0.79,1.0,1.0,1.0,0.04669880786445191
rice,source,0.5,exp,0.0,0.3545623532362737,1.015492390237718,0.9087703195771163,1.84,0.79,1.0548483976751504,1.6487212707001282,0.8180356952916705,0.04669880786445191
rice,source,1.0,exp,0.0,0.35647387181924584,1.0179216542001779,0.9064445911188308,1.84,0.79,1.1161375435330951,2.718281828459045,0.6677016374270031,0.04669880786445191
rice,source,2.0,exp,0.0,0.34663267394086433,1.026380103445303,0.9025172378966759,1.84,0.79,1.2612798515172137,4.0,0.43867678540882765,0.04669880786445191
rice,source,3.0,exp,0.0,0.3553686053776636,1.0405906294017755,0.9025898891796167,1.84,0.79,1.4201089705927956,4.0,0.2829012354562205,0.04669880786445191
rice,source,4.0,exp,0.0,0.3592550673083828,1.0571927892001474,0.871384198073097,1.84,0.79,1.601257328204362,4.0,0.25,0.04669880786445191
rice,source,6.0,exp,0.0,0.3672453526929006,1.076049435575288,0.8599120578670248,1.84,0.79,2.0891930900695193,4.0,0.25,0.04669880786445191
rice,source,8.0,exp,0.0,0.37040798817947346,1.1112567404753237,0.9261879584377808,1.84,0.79,2.7531802365976947,4.0,0.25,0.04669880786445191
rice,source,12.0,exp,0.0,0.3764533392894086,1.1778649147854416,0.8758738226202057,1.84,0.79,4.0,4.0,0.25,0.04669880786445191
